ID,Headline,Source,Category,Time,URL
1,"Microsoft Bombayı Patlattı: Call of Duty: Black Ops 6, İlk Gününden Game Pass'e Eklenecek",webtekno,Bilim ve Teknoloji,2024-05-28T10:50:38Z,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LndlYnRla25vLmNvbS9jYWxsLW9mLWR1dHktYmxhY2stb3BzLTYtaWxrLWd1bmRlbi1nYW1lLXBhc3MtZ2VsZWNlay1oMTQ0NTU4Lmh0bWzSASlodHRwczovL3d3dy53ZWJ0ZWtuby5jb20vaGFiZXIvYW1wLzE0NDU1OA?hl=tr&gl=TR&ceid=TR%3Atr
2,Call of Duty Black Ops 6 Çıktığı İlk Gün Game Pass'e Geliyor!,Onedio,Bilim ve Teknoloji,2024-05-28T11:38:44Z,news.google.com/articles/CBMiXWh0dHBzOi8vb25lZGlvLmNvbS9oYWJlci9jYWxsLW9mLWR1dHktYmxhY2stb3BzLTYtY2lrdGlnaS1pbGstZ3VuLWdhbWUtcGFzcy1lLWdlbGl5b3ItMTIyNTQwNtIBYWh0dHBzOi8vYW1wLm9uZWRpby5jb20vaGFiZXIvY2FsbC1vZi1kdXR5LWJsYWNrLW9wcy02LWNpa3RpZ2ktaWxrLWd1bi1nYW1lLXBhc3MtZS1nZWxpeW9yLTEyMjU0MDY?hl=tr&gl=TR&ceid=TR%3Atr
3,"Call of Duty: Black Ops 6, ilk günden Xbox Game Pass'e eklenecek",DonanımHaber,Bilim ve Teknoloji,2024-05-28T13:36:00Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vY2FsbC1vZi1kdXR5LWJsYWNrLW9wcy02LWlsay1ndW5kZW4teGJveC1nYW1lLXBhc3MtZS1la2xlbmVjZWstLTE3Nzc4N9IBZ2h0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vYW1wL2NhbGwtb2YtZHV0eS1ibGFjay1vcHMtNi1pbGstZ3VuZGVuLXhib3gtZ2FtZS1wYXNzLWUtZWtsZW5lY2VrLS0xNzc3ODc?hl=tr&gl=TR&ceid=TR%3Atr
4,Call of Duty hayranı PS4 ve Xbox One sahiplerine müjde!,ShiftDelete.Net,Bilim ve Teknoloji,2024-05-25T15:32:38Z,news.google.com/articles/CBMiPWh0dHBzOi8vc2hpZnRkZWxldGUubmV0L2NhbGwtb2YtZHV0eS1ibGFjay1vcHMtNi1wczQteGJveC1vbmXSAUFodHRwczovL3NoaWZ0ZGVsZXRlLm5ldC9jYWxsLW9mLWR1dHktYmxhY2stb3BzLTYtcHM0LXhib3gtb25lL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
5,Bütçe dostu Samsung Galaxy Tab S6 Lite tablet için yeni avantajlı fiyat [Mayıs 2024],LOG,Bilim ve Teknoloji,2024-05-28T16:03:25Z,news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmxvZy5jb20udHIvYnV0Y2UtZG9zdHUtc2Ftc3VuZy1nYWxheHktdGFiLXM2LWxpdGUtdGFibGV0LWljaW4teWVuaS1hdmFudGFqbGktZml5YXQtbWF5aXMtMjAyNC_SAW5odHRwczovL3d3dy5sb2cuY29tLnRyL2J1dGNlLWRvc3R1LXNhbXN1bmctZ2FsYXh5LXRhYi1zNi1saXRlLXRhYmxldC1pY2luLXllbmktYXZhbnRhamxpLWZpeWF0LW1heWlzLTIwMjQvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
6,iPhone 16 Pro ve iPhone 15 Pro yan yana: İşte tasarım farkları,DonanımHaber,Bilim ve Teknoloji,2024-05-27T08:05:00Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vaXBob25lLTE2LXByby12ZS1pcGhvbmUtMTUtcHJvLXlhbi15YW5hLWlzdGUtdGFzYXJpbS1mYXJrbGFyaS0tMTc3NzI40gFmaHR0cHM6Ly93d3cuZG9uYW5pbWhhYmVyLmNvbS9hbXAvaXBob25lLTE2LXByby12ZS1pcGhvbmUtMTUtcHJvLXlhbi15YW5hLWlzdGUtdGFzYXJpbS1mYXJrbGFyaS0tMTc3NzI4?hl=tr&gl=TR&ceid=TR%3Atr
7,Apple iPhone 17 Ultra modelini piyasaya sürebilir - Bilim Teknoloji Haberleri,CNN TÜRK,Bilim ve Teknoloji,2024-05-27T07:17:55Z,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmNubnR1cmsuY29tL3Rla25vbG9qaS9hcHBsZS1pcGhvbmUtMTctdWx0cmEtbW9kZWxpbmktcGl5YXNheWEtc3VyZWJpbGlyLTIxMTgwMTLSAQA?hl=tr&gl=TR&ceid=TR%3Atr
8,iPhone 16 Pro ve iPhone 15 Pro Yan Yana Geldi: Ekran Ne Kadar Büyüyecek?,webtekno,Bilim ve Teknoloji,2024-05-27T19:49:38Z,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LndlYnRla25vLmNvbS9pcGhvbmUtMTYtcHJvLWlwaG9uZS0xNS1wcm8tYm95dXQta2Fyc2lsYXN0aXJtYXNpLWgxNDQ1MzguaHRtbNIBKWh0dHBzOi8vd3d3LndlYnRla25vLmNvbS9oYWJlci9hbXAvMTQ0NTM4?hl=tr&gl=TR&ceid=TR%3Atr
9,Apple tarihinde bir ilk! iPhone 16 serisi ortaya çıktı,ShiftDelete.Net,Bilim ve Teknoloji,2024-05-28T13:20:10Z,news.google.com/articles/CBMiNWh0dHBzOi8vc2hpZnRkZWxldGUubmV0L2lwaG9uZS0xNi1zZXJpc2ktbmFzaWwtb2xhY2Fr0gE5aHR0cHM6Ly9zaGlmdGRlbGV0ZS5uZXQvaXBob25lLTE2LXNlcmlzaS1uYXNpbC1vbGFjYWsvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
10,Windows fotoğraf içindeki metni kopyalayacak özelliği duyurdu,ShiftDelete.Net,Bilim ve Teknoloji,2024-05-28T04:32:14Z,news.google.com/articles/CBMiQGh0dHBzOi8vc2hpZnRkZWxldGUubmV0L3dpbmRvd3MtZm90b2dyYWYtbWV0bmktb2t1eWFjYWstb3plbGxpZ2nSAURodHRwczovL3NoaWZ0ZGVsZXRlLm5ldC93aW5kb3dzLWZvdG9ncmFmLW1ldG5pLW9rdXlhY2FrLW96ZWxsaWdpL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
11,"Windows, Android cihazlarda fotoğraflardan metin almaya izin vermeye başlıyor",Webrazzi,Bilim ve Teknoloji,2024-05-28T07:01:02Z,news.google.com/articles/CBMibWh0dHBzOi8vd2VicmF6emkuY29tLzIwMjQvMDUvMjgvd2luZG93cy1hbmRyb2lkLWNpaGF6bGFyZGEtZm90b2dyYWZsYXJkYW4tbWV0aW4tYWxtYXlhLWl6aW4tdmVybWV5ZS1iYXNsaXlvci_SAQA?hl=tr&gl=TR&ceid=TR%3Atr
12,Microsoft Telefon Bağlantısı için Android temelli OCR desteği geliyor,LOG,Bilim ve Teknoloji,2024-05-28T06:06:03Z,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmxvZy5jb20udHIvbWljcm9zb2Z0LXRlbGVmb24tYmFnbGFudGlzaS1pY2luLWFuZHJvaWQtdGVtZWxsaS1vY3ItZGVzdGVnaS1nZWxpeW9yL9IBYWh0dHBzOi8vd3d3LmxvZy5jb20udHIvbWljcm9zb2Z0LXRlbGVmb24tYmFnbGFudGlzaS1pY2luLWFuZHJvaWQtdGVtZWxsaS1vY3ItZGVzdGVnaS1nZWxpeW9yL2FtcC8?hl=tr&gl=TR&ceid=TR%3Atr
13,Windows PC'lere Sevindiren Bir Özellik Geliyor: Fotoğraflardan Metin Kopyalanabilecek!,Tamindir,Bilim ve Teknoloji,2024-05-28T07:35:51Z,news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LnRhbWluZGlyLmNvbS9oYWJlci93aW5kb3dzLWJpbGdpc2F5YXJsYXJkYS1mb3RvZ3JhZmxhcmRhbi1tZXRpbi1rb3B5YWxhbWFfODgzMTUv0gFgaHR0cHM6Ly93d3cudGFtaW5kaXIuY29tL2hhYmVyL3dpbmRvd3MtYmlsZ2lzYXlhcmxhcmRhLWZvdG9ncmFmbGFyZGFuLW1ldGluLWtvcHlhbGFtYV84ODMxNS9hbXAv?hl=tr&gl=TR&ceid=TR%3Atr
14,Galaxy S24 Ultra'nın kamera sorunlarını çözecek güncelleme yolda,DonanımHaber,Bilim ve Teknoloji,2024-05-27T14:17:00Z,news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vZ2FsYXh5LXMyNC11bHRyYS1uaW4ta2FtZXJhLXNvcnVubGFyaW5pLWNvemVjZWstZ3VuY2VsbGVtZS15b2xkYS0tMTc3NzQ30gFpaHR0cHM6Ly93d3cuZG9uYW5pbWhhYmVyLmNvbS9hbXAvZ2FsYXh5LXMyNC11bHRyYS1uaW4ta2FtZXJhLXNvcnVubGFyaW5pLWNvemVjZWstZ3VuY2VsbGVtZS15b2xkYS0tMTc3NzQ3?hl=tr&gl=TR&ceid=TR%3Atr
15,Samsung Galaxy S25 Ultra için bazı teknik kamera iddiaları geldi,LOG,Bilim ve Teknoloji,2024-05-27T13:25:28Z,news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LmxvZy5jb20udHIvc2Ftc3VuZy1nYWxheHktczI1LXVsdHJhLWljaW4tYmF6aS10ZWtuaWsta2FtZXJhLWlkZGlhbGFyaS1nZWxkaS_SAVxodHRwczovL3d3dy5sb2cuY29tLnRyL3NhbXN1bmctZ2FsYXh5LXMyNS11bHRyYS1pY2luLWJhemktdGVrbmlrLWthbWVyYS1pZGRpYWxhcmktZ2VsZGkvYW1wLw?hl=tr&gl=TR&ceid=TR%3Atr
16,"Galaxy S25 Ultra, kamerada önemli bir yükseltmeyle geliyor",DonanımHaber,Bilim ve Teknoloji,2024-05-27T15:30:00Z,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vZ2FsYXh5LXMyNS11bHRyYS1rYW1lcmFkYS1vbmVtbGktYmlyLXl1a3NlbHRtZXlsZS1nZWxpeW9yLS0xNzc3NDHSAWJodHRwczovL3d3dy5kb25hbmltaGFiZXIuY29tL2FtcC9nYWxheHktczI1LXVsdHJhLWthbWVyYWRhLW9uZW1saS1iaXIteXVrc2VsdG1leWxlLWdlbGl5b3ItLTE3Nzc0MQ?hl=tr&gl=TR&ceid=TR%3Atr
17,One UI 6.1.1 – Galaxy S24 Ultra için devasa güncelleme!,ShiftDelete.Net,Bilim ve Teknoloji,2024-05-28T11:05:06Z,news.google.com/articles/CBMiSGh0dHBzOi8vc2hpZnRkZWxldGUubmV0L3NhbXN1bmctZ2FsYXh5LXMyNC11bHRyYS1vbmUtdWktNi0xLTEtZ3VuY2VsbGVtZdIBTGh0dHBzOi8vc2hpZnRkZWxldGUubmV0L3NhbXN1bmctZ2FsYXh5LXMyNC11bHRyYS1vbmUtdWktNi0xLTEtZ3VuY2VsbGVtZS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
18,"Gigabyte AORUS ve MSI, 27-inç boyutunda yeni QD-OLED oyuncu monitörleri tanıttı",LOG,Bilim ve Teknoloji,2024-05-28T07:21:17Z,news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LmxvZy5jb20udHIvZ2lnYWJ5dGUtYW9ydXMtdmUtbXNpLTI3LWluYy1ib3l1dHVuZGEteWVuaS1xZC1vbGVkLW95dW5jdS1tb25pdG9ybGVyaS10YW5pdHRpL9IBamh0dHBzOi8vd3d3LmxvZy5jb20udHIvZ2lnYWJ5dGUtYW9ydXMtdmUtbXNpLTI3LWluYy1ib3l1dHVuZGEteWVuaS1xZC1vbGVkLW95dW5jdS1tb25pdG9ybGVyaS10YW5pdHRpL2FtcC8?hl=tr&gl=TR&ceid=TR%3Atr
19,ASUS'ın yeni monitörü hem fiyatı hem de özellikleriyle dikkat çekiyor,Teknolojioku,Bilim ve Teknoloji,2024-05-24T10:00:00Z,news.google.com/articles/CBMihQFodHRwczovL3d3dy50ZWtub2xvamlva3UuY29tL2JpbGdpc2F5YXIvYXN1c2luLXllbmktbW9uaXRvcnUtaGVtLWZpeWF0aS1oZW0tZGUtb3plbGxpa2xlcml5bGUtZGlra2F0LWNla2l5b3ItNjY1MDIzNWU0OWUwMDI5MmYwMDczZDg50gEA?hl=tr&gl=TR&ceid=TR%3Atr
20,"ViewSonic, XG272-2K-OLED Monitör İle OLED Oyun Dünyasına Giriyor",ITNetwork,Bilim ve Teknoloji,2024-05-28T08:28:46Z,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3Lml0bmV0d29yay5jb20udHIvdmlld3NvbmljLXhnMjcyLTJrLW9sZWQtbW9uaXRvci1pbGUtb2xlZC1veXVuLWR1bnlhc2luYS1naXJpeW9yL9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
21,En iyi Xbox Game Pass oyunları: İşte güncel liste,DonanımHaber,Bilim ve Teknoloji,2024-05-28T15:44:00Z,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vZW4taXlpLXhib3gtZ2FtZS1wYXNzLW95dW5sYXJpLWlzdGUtZ3VuY2VsLWxpc3RlLS0xNzc3NznSAVlodHRwczovL3d3dy5kb25hbmltaGFiZXIuY29tL2FtcC9lbi1peWkteGJveC1nYW1lLXBhc3Mtb3l1bmxhcmktaXN0ZS1ndW5jZWwtbGlzdGUtLTE3Nzc3OQ?hl=tr&gl=TR&ceid=TR%3Atr
22,Instagram'a gelecek yeni özellikler sızdırıldı - Fotoğraf Galerisi,T24,Bilim ve Teknoloji,2024-05-28T07:10:00Z,news.google.com/articles/CBMiUmh0dHBzOi8vdDI0LmNvbS50ci9mb3RvLWhhYmVyL2luc3RhZ3JhbS1hLWdlbGVjZWsteWVuaS1vemVsbGlrbGVyLXNpemRpcmlsZGksMzI0ODPSAQA?hl=tr&gl=TR&ceid=TR%3Atr
23,Instagram'a yepyeni özellikler yolda! Neler gelecek? - Son Dakika Bilim Teknoloji Haberleri | Cumhuriyet,Cumhuriyet,Bilim ve Teknoloji,2024-05-27T12:23:47Z,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2JpbGltLXRla25vbG9qaS9pbnN0YWdyYW1hLXllcHllbmktb3plbGxpa2xlci15b2xkYS1uZWxlci1nZWxlY2VrLTIyMTExMzjSAQA?hl=tr&gl=TR&ceid=TR%3Atr
24,"Instagram’a gelen yeni özellikler çok konuşulacak: ""Göster"", ""Kesimler"", ""Çerçeveler""... İşte detaylar!",TELE1 TV,Bilim ve Teknoloji,2024-05-27T07:18:25Z,news.google.com/articles/CBMid2h0dHBzOi8vdGVsZTEuY29tLnRyL2luc3RhZ3JhbWEtZ2VsZW4teWVuaS1vemVsbGlrbGVyLWNvay1rb251c3VsYWNhay1nb3N0ZXIta2VzaW1sZXItY2VyY2V2ZWxlci1pc3RlLWRldGF5bGFyLTEwNzM0MjAv0gEA?hl=tr&gl=TR&ceid=TR%3Atr
25,Instagram DM'lere Çok Seveceğiniz Bir Özellik Geliyor: Yapay Zekâyla Sohbet Teması Oluşturabileceksiniz,webtekno,Bilim ve Teknoloji,2024-05-26T18:20:50Z,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LndlYnRla25vLmNvbS9pbnN0YWdyYW0teWFwYXktemVrYS1zb2hiZXQtdGVtYXNpLW9sdXN0dXJtYS1vemVsbGlnaS1oMTQ0NDg0Lmh0bWzSASlodHRwczovL3d3dy53ZWJ0ZWtuby5jb20vaGFiZXIvYW1wLzE0NDQ4NA?hl=tr&gl=TR&ceid=TR%3Atr
26,"Yerli Geliştirici Shadowfall, PlayStation ile Ortaklık Kurdu: Türk Mitolojisini Anlatan Oyun Geliyor!",webtekno,Bilim ve Teknoloji,2024-05-28T12:24:22Z,news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LndlYnRla25vLmNvbS90dXJrLWdlbGlzdGlyaWNpLXNoYWRvd2ZhbGwtcGxheXN0YXRpb24tb3J0YWtsaWstaDE0NDU1Ni5odG1s0gEpaHR0cHM6Ly93d3cud2VidGVrbm8uY29tL2hhYmVyL2FtcC8xNDQ1NTY?hl=tr&gl=TR&ceid=TR%3Atr
27,iOS 18 ile iPhone'lara gelecek yeni özellikler ortaya çıktı,Ensonhaber,Bilim ve Teknoloji,2024-05-27T07:27:49Z,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL3Rla25vbG9qaS9pb3MtMTgtaWxlLWlwaG9uZWxhcmEtZ2VsZWNlay15ZW5pLW96ZWxsaWtsZXItb3J0YXlhLWNpa3Rp0gFjaHR0cHM6Ly93d3cuZW5zb25oYWJlci5jb20vYW1wL3Rla25vbG9qaS9pb3MtMTgtaWxlLWlwaG9uZWxhcmEtZ2VsZWNlay15ZW5pLW96ZWxsaWtsZXItb3J0YXlhLWNpa3Rp?hl=tr&gl=TR&ceid=TR%3Atr
28,iOS 18 ile gelmesi beklenen yapay zeka özellikleri,Webrazzi,Bilim ve Teknoloji,2024-05-27T13:01:06Z,news.google.com/articles/CBMiU2h0dHBzOi8vd2VicmF6emkuY29tLzIwMjQvMDUvMjcvaW9zLTE4LWlsZS1nZWxtZXNpLWJla2xlbmVuLXlhcGF5LXpla2Etb3plbGxpa2xlcmkv0gEA?hl=tr&gl=TR&ceid=TR%3Atr
29,iOS 18'le iPhone'lara gelecek 10 yapay zeka özelliği | Mobil Haberleri,Yeni Şafak,Bilim ve Teknoloji,2024-05-27T13:39:17Z,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LnllbmlzYWZhay5jb20vdGVrbm9sb2ppL2lvcy0xOGxlLWlwaG9uZWxhcmEtZ2VsZWNlay0xMC15YXBheS16ZWthLW96ZWxsaWdpLTQ2MjM4MzfSAQA?hl=tr&gl=TR&ceid=TR%3Atr
30,"Apple, ChatGPT olmadan da rakiplerini geride bırakabilir",ShiftDelete.Net,Bilim ve Teknoloji,2024-05-27T18:04:44Z,news.google.com/articles/CBMiOWh0dHBzOi8vc2hpZnRkZWxldGUubmV0L2FwcGxlLWNoYXRncHQtaWh0aXlhYy1vbG1heWFiaWxpctIBPWh0dHBzOi8vc2hpZnRkZWxldGUubmV0L2FwcGxlLWNoYXRncHQtaWh0aXlhYy1vbG1heWFiaWxpci9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
31,Xiaomi 15 kamera özellikleri ortaya çıktı: İşte beklenen yenilikler,DonanımHaber,Bilim ve Teknoloji,2024-05-28T08:40:00Z,news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20veGlhb21pLTE1LWFydGlrLXJlc21pLWthbWVyYS1vemVsbGlrbGVyaS1vcnRheWEtY2lrdGktLTE3Nzc2N9IBXmh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vYW1wL3hpYW9taS0xNS1hcnRpay1yZXNtaS1rYW1lcmEtb3plbGxpa2xlcmktb3J0YXlhLWNpa3RpLS0xNzc3Njc?hl=tr&gl=TR&ceid=TR%3Atr
