ID,Headline,Source,Category,Time,URL
1,BM Genel Sekreteri Guterres'ten İsrail'e tepki,Sözcü,Dünya,2024-05-28T17:01:29Z,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9ibS1nZW5lbC1zZWtyZXRlcmktZ3V0ZXJyZXMtdGVuLWlzcmFpbC1lLXRlcGtpLXA1MDYzM9IBUmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hbXAvYm0tZ2VuZWwtc2VrcmV0ZXJpLWd1dGVycmVzLXRlbi1pc3JhaWwtZS10ZXBraS1wNTA2MzM?hl=tr&gl=TR&ceid=TR%3Atr
2,ABD’den Refah açıklaması: İsrail’in soruşturmalarına güveniyoruz,Sözcü,Dünya,2024-05-28T19:00:56Z,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hYmQtZGVuLXJlZmFoLWFjaWtsYW1hc2ktaXNyYWlsLWluLXNvcnVzdHVybWFsYXJpbmEtZ3V2ZW5peW9ydXotcDUwNjQ40gFjaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9hYmQtZGVuLXJlZmFoLWFjaWtsYW1hc2ktaXNyYWlsLWluLXNvcnVzdHVybWFsYXJpbmEtZ3V2ZW5peW9ydXotcDUwNjQ4?hl=tr&gl=TR&ceid=TR%3Atr
3,Yaptığı illüstrasyonla çadır kenti katliamının sesi oldu,TRT Haber,Dünya,2024-05-28T18:13:00Z,news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS92aWRlb2xhci95YXB0aWdpLWlsbHVzdHJhc3lvbmxhLWNhZGlyLWtlbnRpLWthdGxpYW1pbmluLXNlc2ktb2xkdS03Mjc2MS5odG1s0gEA?hl=tr&gl=TR&ceid=TR%3Atr
4,"SON DAKİKA İSRAİL - GAZZE HABERLERİ: Dünya ayakta! Tanklar merkeze yürüyor, Çin'den sürpriz hamle",Milliyet,Dünya,2024-05-28T17:37:00Z,news.google.com/articles/CBMikgFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvZHVueWEvbGl2ZS1nYXp6ZWRla2ktc2F2YXN0YS1zb24tZGFraWthLWlzcmFpbGRlbi1iaXIta2F0bGlhbS1kYWhhLWNhZGlyLWtlbnRpLWJvbWJhbGFkaWxhci1rb3JrdW5jLWdvcnVudHVsZXItNzEzMzM1NtIBAA?hl=tr&gl=TR&ceid=TR%3Atr
5,"İspanya, Norveç ve İrlanda, Filistin Devleti’ni resmen tanıdı",Diken,Dünya,2024-05-28T11:32:55Z,news.google.com/articles/CBMiQmh0dHBzOi8vd3d3LmRpa2VuLmNvbS50ci9pc3BhbnlhLWZpbGlzdGluLWRldmxldGluaS1yZXNtZW4tdGFuaWRpL9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
6,Filistin devletinin tanınması dünya gündeminde! İşte Filistin'i tanıyan ve tanımayan ülkeler... - Resim 1,Haber7.com,Dünya,2024-05-28T17:13:00Z,news.google.com/articles/CBMigwFodHRwczovL3d3dy5oYWJlcjcuY29tL2ZvdG8tZ2FsZXJpLzg1Nzg1LWZpbGlzdGluLWRldmxldGluaW4tdGFuaW5tYXNpLWR1bnlhLWd1bmRlbWluZGUtaXN0ZS1maWxpc3RpbmktdGFuaXlhbi12ZS10YW5pbWF5YW4tdWxrZWxlctIBAA?hl=tr&gl=TR&ceid=TR%3Atr
7,"İspanya, Norveç ve İrlanda, Filistin devletini resmen tanıdı",BirGün,Dünya,2024-05-28T07:00:00Z,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvaXNwYW55YS1ub3J2ZWMtdmUtaXJsYW5kYS1maWxpc3Rpbi1kZXZsZXRpbmktcmVzbWVuLXRhbmlkaS01MzMxNzfSAQA?hl=tr&gl=TR&ceid=TR%3Atr
8,Danimarka Filistin'in tanınmasını öngören yasa tasarısını reddetti,TRT Haber,Dünya,2024-05-28T17:50:00Z,news.google.com/articles/CBMicmh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9kdW55YS9kYW5pbWFya2EtZmlsaXN0aW5pbi10YW5pbm1hc2luaS1vbmdvcmVuLXlhc2EtdGFzYXJpc2luaS1yZWRkZXR0aS04NjA0NTQuaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
9,Son Dakika... Milli Güvenlik Kurulu toplantısı sona erdi: Bildiride 'yapay zeka' ayrıntısı,Cumhuriyet,Dünya,2024-05-28T17:02:00Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvc29uLWRha2lrYS1taWxsaS1ndXZlbmxpay1rdXJ1bHUtdG9wbGFudGlzaS1zb25hLWVyZGktMjIxMTYwMNIBZ2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2FtcC90dXJraXllL3Nvbi1kYWtpa2EtbWlsbGktZ3V2ZW5saWsta3VydWx1LXRvcGxhbnRpc2ktc29uYS1lcmRpLTIyMTE2MDA?hl=tr&gl=TR&ceid=TR%3Atr
10,MGK'da bir ilk... Toplantıdan yapay zeka çıktı,Odatv,Dünya,2024-05-28T18:00:40Z,news.google.com/articles/CBMiUWh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvbWdrZGEtYmlyLWlsay10b3BsYW50aWRhbi15YXBheS16ZWthLWNpa3RpLTEyMDA0NTk5MtIBVWh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9hbXAvZ3VuY2VsL21na2RhLWJpci1pbGstdG9wbGFudGlkYW4teWFwYXktemVrYS1jaWt0aS0xMjAwNDU5OTI?hl=tr&gl=TR&ceid=TR%3Atr
