ID,Headline,Source,Category,Time,URL
1,'Bana saldırdı' demişti! Deniz Akkaya'nın kızı Çocuk Esirgeme Kurumu'nda,Milliyet,Eğlence,2024-05-28T14:50:55Z,news.google.com/articles/CBMiggFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvY2FkZGUvZ2FsZXJpL2tpemltLWJhbmEtc2FsZGlyZGktZGVtaXN0aS1kZW5pei1ha2theWEta2l6aW5pLWNvY3VrLWVzaXJnZW1lLWt1cnVtdW5hLWdvbmRlcm1pcy03MTMzNTcw0gGGAWh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9hbXAvY2FkZGUvZ2FsZXJpL2tpemltLWJhbmEtc2FsZGlyZGktZGVtaXN0aS1kZW5pei1ha2theWEta2l6aW5pLWNvY3VrLWVzaXJnZW1lLWt1cnVtdW5hLWdvbmRlcm1pcy03MTMzNTcw?hl=tr&gl=TR&ceid=TR%3Atr
2,Deniz Akkaya ve kızının Anneler Günü röportajı çıktı,Odatv,Eğlence,2024-05-28T17:15:00Z,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvZGVuaXotYWtrYXlhLXZlLWtpemluaW4tYW5uZWxlci1ndW51LXJvcG9ydGFqaS1jaWt0aS0xMjAwNDU5ODnSAV9odHRwczovL3d3dy5vZGF0di5jb20vYW1wL2d1bmNlbC9kZW5pei1ha2theWEtdmUta2l6aW5pbi1hbm5lbGVyLWd1bnUtcm9wb3J0YWppLWNpa3RpLTEyMDA0NTk4OQ?hl=tr&gl=TR&ceid=TR%3Atr
3,DENİZ AKKAYA KIZI HABERLERi: Deniz Akkaya'dan kızı ile ilgili açıklama! Burnu sürtsün diye...,Milliyet,Eğlence,2024-05-28T12:58:45Z,news.google.com/articles/CBMibGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9kZW5pei1ha2theWEta2l6aW1pLWJ1cm51LXN1cnRzdW4tZGl5ZS1jb2N1ay1lc2lyZ2VtZS1rdXJ1bXVuYS1nb25kZXJkaW0tNzEzMzM0NNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
4,"Deniz Akkaya'nın kızı neden koruma altına alındı? Açıklaması şaşırttı:""Ben gönderdim, burnu sürtsün diye"" - Son Dakika Magazin Haberleri | N-Life",NTV,Eğlence,2024-05-28T12:20:00Z,news.google.com/articles/CBMif2h0dHBzOi8vd3d3Lm50di5jb20udHIvbi1saWZlL21hZ2F6aW4vZXNraS1tYW5rZW4tZGVuaXotYWtrYXlhbmluLTE2LXlhc2luZGFraS1raXppLWtvcnVtYS1hbHRpbmEtYWxpbmRpLFpaajZZNTh1SkVtM1ZSMnRYamtZX2fSAQA?hl=tr&gl=TR&ceid=TR%3Atr
5,"YALAN 2. BÖLÜM FRAGMANI YAYINLANDI || Berrin, Hazal’ı öldürmeye çalışıyor! Kanal D Yalan yeni bölüm fragmanı izle ekranı",Sabah,Eğlence,2024-05-28T13:37:00Z,news.google.com/articles/CBMidWh0dHBzOi8vd3d3LnNhYmFoLmNvbS50ci9nYWxlcmkveWFzYW0veWFsYW4tMi1ib2x1bS1mcmFnbWFuaS1ndW5kZW1kZS1rYW5hbC1kLXlhbGFuLXllbmktYm9sdW0tZnJhZ21hbmkteWF5aW5sYW5kaS1tadIBd2h0dHBzOi8vbS5zYWJhaC5jb20udHIvZ2FsZXJpL3lhc2FtL3lhbGFuLTItYm9sdW0tZnJhZ21hbmktZ3VuZGVtZGUta2FuYWwtZC15YWxhbi15ZW5pLWJvbHVtLWZyYWdtYW5pLXlheWlubGFuZGktbWkvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
6,Yalan İlk Bölüm,Kanal D,Eğlence,2024-05-27T19:49:34Z,news.google.com/articles/CBMiOGh0dHBzOi8vd3d3LmthbmFsZC5jb20udHIveWFsYW4vYm9sdW1sZXIveWFsYW4taWxrLWJvbHVt0gE8aHR0cHM6Ly93d3cua2FuYWxkLmNvbS50ci9hbXAveWFsYW4vYm9sdW1sZXIveWFsYW4taWxrLWJvbHVt?hl=tr&gl=TR&ceid=TR%3Atr
7,‘Yalan’ ilk bölümüyle ekrana geldi,Gazete Duvar,Eğlence,2024-05-28T14:45:07Z,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci95YWxhbi1pbGstYm9sdW11eWxlLWVrcmFuYS1nZWxkaS1nYWxlcmktMTY5NDY3NtIBUmh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hbXAveWFsYW4taWxrLWJvbHVtdXlsZS1la3JhbmEtZ2VsZGktZ2FsZXJpLTE2OTQ2NzY?hl=tr&gl=TR&ceid=TR%3Atr
8,KANAL D YALAN YENİ BÖLÜM FRAGMANI | Yalan 2. yeni bölüm fragmanı izle,Aspor,Eğlence,2024-05-27T20:31:00Z,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmFzcG9yLmNvbS50ci9tYWdhemluLzIwMjQvMDUvMjcva2FuYWwtZC15YWxhbi15ZW5pLWJvbHVtLWZyYWdtYW5pLXlhbGFuLTIteWVuaS1ib2x1bS1mcmFnbWFuaS1pemxl0gFyaHR0cHM6Ly93d3cuYXNwb3IuY29tLnRyL21hZ2F6aW4vMjAyNC8wNS8yNy9rYW5hbC1kLXlhbGFuLXllbmktYm9sdW0tZnJhZ21hbmkteWFsYW4tMi15ZW5pLWJvbHVtLWZyYWdtYW5pLWl6bGUvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
9,Bahar setinde akılalmaz olay! Demet Evgar'ın asistana küfür ettiği iddia edildi! “Başrol oyuncusu ağlayarak af diledi”,Takvim,Eğlence,2024-05-28T12:10:30Z,news.google.com/articles/CBMingFodHRwczovL3d3dy50YWt2aW0uY29tLnRyL21hZ2F6aW4vMjAyNC8wNS8yOC9iYWhhci1zZXRpbmRlLWFraWxhbG1hei1vbGF5LWRlbWV0LWV2Z2FyaW4tYXNpc3RhbmEta3VmdXItZXR0aWdpLWlkZGlhLWVkaWxkaS1iYXNyb2wtb3l1bmN1c3UtYWdsYXlhcmFrLWFmLWRpbGVkadIBogFodHRwczovL3d3dy50YWt2aW0uY29tLnRyL21hZ2F6aW4vMjAyNC8wNS8yOC9iYWhhci1zZXRpbmRlLWFraWxhbG1hei1vbGF5LWRlbWV0LWV2Z2FyaW4tYXNpc3RhbmEta3VmdXItZXR0aWdpLWlkZGlhLWVkaWxkaS1iYXNyb2wtb3l1bmN1c3UtYWdsYXlhcmFrLWFmLWRpbGVkaS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
10,Bahar seti karıştı! Demet Evgar'ın asistana küfür ettiği iddia edildi,Milliyet,Eğlence,2024-05-28T09:52:00Z,news.google.com/articles/CBMidGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9jYWRkZS9nYWxlcmkvYmFoYXItc2V0aS1rYXJpc3RpLWRlbWV0LWV2Z2FyaW4tYXNpc3RhbmEta3VmdXItZXR0aWdpLWlkZGlhLWVkaWxkaS03MTMzNTAy0gF4aHR0cHM6Ly93d3cubWlsbGl5ZXQuY29tLnRyL2FtcC9jYWRkZS9nYWxlcmkvYmFoYXItc2V0aS1rYXJpc3RpLWRlbWV0LWV2Z2FyaW4tYXNpc3RhbmEta3VmdXItZXR0aWdpLWlkZGlhLWVkaWxkaS03MTMzNTAy?hl=tr&gl=TR&ceid=TR%3Atr
11,"Bahar seti karıştı! Ünlü oyuncu Demet Evgar, set çalışanlarına küfretti iddiası",Ensonhaber,Eğlence,2024-05-28T09:27:58Z,news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL21hZ2F6aW4vYmFoYXItc2V0aS1rYXJpc3RpLXVubHUtb3l1bmN1LWRlbWV0LWV2Z2FyLXNldC1jYWxpc2FubGFyaW5hLWt1ZnJldHRpLWlkZGlhc2nSAXRodHRwczovL3d3dy5lbnNvbmhhYmVyLmNvbS9hbXAvbWFnYXppbi9iYWhhci1zZXRpLWthcmlzdGktdW5sdS1veXVuY3UtZGVtZXQtZXZnYXItc2V0LWNhbGlzYW5sYXJpbmEta3VmcmV0dGktaWRkaWFzaQ?hl=tr&gl=TR&ceid=TR%3Atr
12,Skandal İddia! Bahar Setinde Ortalık Karıştı,Halk TV,Eğlence,2024-05-28T12:00:54Z,news.google.com/articles/CBMiUWh0dHBzOi8vaGFsa3R2LmNvbS50ci9tYWdhemluL3NrYW5kYWwtaWRkaWEtYmFoYXItc2V0aW5kZS1vcnRhbGlrLWthcmlzdGktODM4MjMwaNIBXWh0dHBzOi8vaGFsa3R2LmNvbS50ci9zZXJ2aWNlL2FtcC9tYWdhemluL3NrYW5kYWwtaWRkaWEtYmFoYXItc2V0aW5kZS1vcnRhbGlrLWthcmlzdGktODM4MjMwaA?hl=tr&gl=TR&ceid=TR%3Atr
13,"Nilüfer’in ilk eşi, müzisyen ve prodüktör Ali Yeşil Giresunlu yaşamını yitirdi",Odatv,Eğlence,2024-05-28T13:12:00Z,news.google.com/articles/CBMic2h0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvbmlsdWZlcmluLWlsay1lc2ktbXV6aXN5ZW4tdmUtcHJvZHVrdG9yLWFsaS15ZXNpbC1naXJlc3VubHUteWFzYW1pbmkteWl0aXJkaS0xMjAwNDU5NDPSAXdodHRwczovL3d3dy5vZGF0di5jb20vYW1wL2d1bmNlbC9uaWx1ZmVyaW4taWxrLWVzaS1tdXppc3llbi12ZS1wcm9kdWt0b3ItYWxpLXllc2lsLWdpcmVzdW5sdS15YXNhbWluaS15aXRpcmRpLTEyMDA0NTk0Mw?hl=tr&gl=TR&ceid=TR%3Atr
14,"BAHAR 14. BÖLÜM FULL İZLE! Show TV Bahar son bölüm izle tek parça, kesintisiz",Sabah,Eğlence,2024-05-28T18:50:00Z,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LnNhYmFoLmNvbS50ci9nYWxlcmkveWFzYW0vYmFoYXItMTQtYm9sdW0taXpsZS1zaG93LXR2LWlsZS1iYWhhci1zb24tYm9sdW0tZnVsbC1pemxl0gFhaHR0cHM6Ly9tLnNhYmFoLmNvbS50ci9nYWxlcmkveWFzYW0vYmFoYXItMTQtYm9sdW0taXpsZS1zaG93LXR2LWlsZS1iYWhhci1zb24tYm9sdW0tZnVsbC1pemxlL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
15,Bahar 14. Bölüm Fotoğrafları,Show TV,Eğlence,2024-05-26T15:17:21Z,news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LnNob3d0di5jb20udHIvc2hvdy10di1kaXppL2dhbGVyaS81MDQ3NTYtYmFoYXItMTQtYm9sdW0tZm90b2dyYWZsYXJp0gEzaHR0cHM6Ly93d3cuc2hvd3R2LmNvbS50ci9iYWhhci01MDQ3NTYtMS1nYWxlcmktYW1w?hl=tr&gl=TR&ceid=TR%3Atr
16,Show TV Bahar dizisi yeni bölüm fragmanı - Bahar 15. yeni bölüm fragmanı İZLE FULL,Aspor,Eğlence,2024-05-27T15:54:00Z,news.google.com/articles/CBMie2h0dHBzOi8vd3d3LmFzcG9yLmNvbS50ci9tYWdhemluLzIwMjQvMDUvMjcvc2hvdy10di1iYWhhci1kaXppc2kteWVuaS1ib2x1bS1mcmFnbWFuaS1iYWhhci0xNS15ZW5pLWJvbHVtLWZyYWdtYW5pLWl6bGUtZnVsbNIBf2h0dHBzOi8vd3d3LmFzcG9yLmNvbS50ci9tYWdhemluLzIwMjQvMDUvMjcvc2hvdy10di1iYWhhci1kaXppc2kteWVuaS1ib2x1bS1mcmFnbWFuaS1iYWhhci0xNS15ZW5pLWJvbHVtLWZyYWdtYW5pLWl6bGUtZnVsbC9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
17,Bahar 14. BÖLÜM FULL İZLE - Bahar son bölüm izle - Show TV Bahar izle,Fotomaç,Eğlence,2024-05-28T02:50:00Z,news.google.com/articles/CBMidWh0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL2RpemktaGFiZXJsZXJpLzIwMjQvMDUvMjcvYmFoYXItMTQtYm9sdW0tZnVsbC1pemxlLWJhaGFyLXNvbi1ib2x1bS1pemxlLXNob3ctdHYtYmFoYXItaXpsZdIBeWh0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL2RpemktaGFiZXJsZXJpLzIwMjQvMDUvMjcvYmFoYXItMTQtYm9sdW0tZnVsbC1pemxlLWJhaGFyLXNvbi1ib2x1bS1pemxlLXNob3ctdHYtYmFoYXItaXpsZS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
18,Reyting sonuçları 27 Mayıs 2024 Pazartesi tablosu! Total ve AB'de dünün reyting birincisi olan yapım kim oldu?,Sabah,Eğlence,2024-05-28T17:15:00Z,news.google.com/articles/CBMingFodHRwczovL3d3dy5zYWJhaC5jb20udHIvZ2FsZXJpL3lhc2FtL3JleXRpbmctc29udWNsYXJpLTI3LW1heWlzLTIwMjQtcGF6YXJ0ZXNpLWFjaWtsYW5kaS1taS15YWxhbi1zdXJ2aXZvci1zZWxoYWRkaW4tZXl5dWJpaXN0ZS1lbi1jb2stdGVyY2loLWVkaWxlbi15YXBpbWxhctIBAA?hl=tr&gl=TR&ceid=TR%3Atr
19,Survivor reytinglerde yine birinci oldu,Odatv,Eğlence,2024-05-28T08:08:19Z,news.google.com/articles/CBMifGh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9tZWR5YS8yNy1tYXlpcy1yZXl0aW5nLWxpc3Rlc2ktYmVsbGktb2xkdS1zdXJ2aXZvci1hbGwtc3Rhci0yMDI0LXJleXRpbmdsZXJkZS1rYWNpbmNpLXNpcmFkYS0xMjAwNDU4NjbSAYABaHR0cHM6Ly93d3cub2RhdHYuY29tL2FtcC9tZWR5YS8yNy1tYXlpcy1yZXl0aW5nLWxpc3Rlc2ktYmVsbGktb2xkdS1zdXJ2aXZvci1hbGwtc3Rhci0yMDI0LXJleXRpbmdsZXJkZS1rYWNpbmNpLXNpcmFkYS0xMjAwNDU4NjY?hl=tr&gl=TR&ceid=TR%3Atr
20,"Reyting sonuçları 21 Mayıs 2024 Salı dünün AB ve total reyting sıralaması: Bahar, Ben Bu Cihana Sığmazam, Mehmed: Fetihler Sultanı",Habertürk,Eğlence,2024-05-22T05:29:27Z,news.google.com/articles/CBMingFodHRwczovL20uaGFiZXJ0dXJrLmNvbS9yZXl0aW5nLXNvbnVjbGFyaS0yMS1tYXlpcy0yMDI0LXNhbGktZHVudW4tYWItdmUtdG90YWwtcmV5dGluZy1zaXJhbGFtYXNpLWJhaGFyLWJlbi1idS1jaWhhbmEtc2lnbWF6YW0tbWVobWVkLWZldGlobGVyLXN1bHRhbmktMzY4ODUyNtIBogFodHRwczovL20uaGFiZXJ0dXJrLmNvbS9yZXl0aW5nLXNvbnVjbGFyaS0yMS1tYXlpcy0yMDI0LXNhbGktZHVudW4tYWItdmUtdG90YWwtcmV5dGluZy1zaXJhbGFtYXNpLWJhaGFyLWJlbi1idS1jaWhhbmEtc2lnbWF6YW0tbWVobWVkLWZldGlobGVyLXN1bHRhbmktMzY4ODUyNi1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
21,27 Mayıs reyting sonuçları: Yalan dizisinden beklenmedik sonuç!,Ensonhaber,Eğlence,2024-05-28T09:25:16Z,news.google.com/articles/CBMiXmh0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2JpbGdpLzI3LW1heWlzLXJleXRpbmctc29udWNsYXJpLXlhbGFuLWRpemlzaW5kZW4tYmVrbGVubWVkaWstc29udWPSAWJodHRwczovL3d3dy5lbnNvbmhhYmVyLmNvbS9hbXAvYmlsZ2kvMjctbWF5aXMtcmV5dGluZy1zb251Y2xhcmkteWFsYW4tZGl6aXNpbmRlbi1iZWtsZW5tZWRpay1zb251Yw?hl=tr&gl=TR&ceid=TR%3Atr
22,Kızılcık Şerbeti'nin yeni bölümünden fragman,Gazete Duvar,Eğlence,2024-05-28T06:22:21Z,news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9raXppbGNpay1zZXJiZXRpLXllbmktYm9sdW0taXpsZS1oYWJlci0xNjk0NDgw0gFRaHR0cHM6Ly93d3cuZ2F6ZXRlZHV2YXIuY29tLnRyL2FtcC9raXppbGNpay1zZXJiZXRpLXllbmktYm9sdW0taXpsZS1oYWJlci0xNjk0NDgw?hl=tr&gl=TR&ceid=TR%3Atr
23,Kızılcık Şerbeti 65 . Bölüm Son Fragmanı,Show TV,Eğlence,2024-05-27T17:55:49Z,news.google.com/articles/CBMiUmh0dHBzOi8vd3d3LnNob3d0di5jb20udHIvZGl6aS9mcmFnbWFuL2tpemlsY2lrLXNlcmJldGktNjUtYm9sdW0tMi1mcmFnbWFuaS8xMTkyNDHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
24,Kızılcık Şerbeti'nde kızılca kıyamet kapıda,Odatv,Eğlence,2024-05-27T09:01:00Z,news.google.com/articles/CBMiwQFodHRwczovL3d3dy5vZGF0di5jb20vZGlnZXItaGFiZXJsZXIva2l6aWxjaWstc2VyYmV0aS02NS1ib2x1bS1mcmFnbWFuaW5kYS1raXppbGNhLWtpeWFtZXQta29wdXlvci1pLW5pbGF5LW9tZXItdmUtZ29ya2VtaW4taWxpc2tpc2luaS1vZ3Jlbml5b3ItaS1raXppbGNpay1zZXJiZXRpLXllbmktYm9sdW0tbmUtemFtYW4tMTIwMDQ1Njkz0gHFAWh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9hbXAvZGlnZXItaGFiZXJsZXIva2l6aWxjaWstc2VyYmV0aS02NS1ib2x1bS1mcmFnbWFuaW5kYS1raXppbGNhLWtpeWFtZXQta29wdXlvci1pLW5pbGF5LW9tZXItdmUtZ29ya2VtaW4taWxpc2tpc2luaS1vZ3Jlbml5b3ItaS1raXppbGNpay1zZXJiZXRpLXllbmktYm9sdW0tbmUtemFtYW4tMTIwMDQ1Njkz?hl=tr&gl=TR&ceid=TR%3Atr
25,Şerbo'da Yaprak Dökümü! Kızılcık Şerbeti'nden Dört Oyuncunun Daha Ayrılacağı İddia Edildi!,Onedio,Eğlence,2024-05-28T13:12:01Z,news.google.com/articles/CBMieWh0dHBzOi8vb25lZGlvLmNvbS9oYWJlci9zZXJiby1kYS15YXByYWstZG9rdW11LWtpemlsY2lrLXNlcmJldGktbmRlbi1kb3J0LW95dW5jdW51bi1kYWhhLWF5cmlsYWNhZ2ktaWRkaWEtZWRpbGRpLTEyMjU0MjfSAX1odHRwczovL2FtcC5vbmVkaW8uY29tL2hhYmVyL3NlcmJvLWRhLXlhcHJhay1kb2t1bXUta2l6aWxjaWstc2VyYmV0aS1uZGVuLWRvcnQtb3l1bmN1bnVuLWRhaGEtYXlyaWxhY2FnaS1pZGRpYS1lZGlsZGktMTIyNTQyNw?hl=tr&gl=TR&ceid=TR%3Atr
26,SURVİVOR 3. VE 4. ELEME ADAYI KİM OLDU? Survivor All Star 2024 dokunulmazlık ve iletişim ödülü oyununu hangi takım kazandı?,Milliyet,Eğlence,2024-05-28T04:07:26Z,news.google.com/articles/CBMixQFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvZ2FsZXJpL3N1cnZpdm9yLTMtdmUtNC1lbGVtZS1hZGF5aS1raW0tb2xkdS1zdXJ2aXZvci1hbGwtc3Rhci0yMDI0LWRva3VudWxtYXpsaWstdmUtaWxldGlzaW0tb2R1bHUtb3l1bnVudS1oYW5naS10YWtpbS1rYXphbmRpLWhhZnRhbmluLWdpdG1lLWFkYXlsYXJpLWJlbGxpLW9sZHUtNzEzMzIyNtIByQFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvYW1wL2dhbGVyaS9zdXJ2aXZvci0zLXZlLTQtZWxlbWUtYWRheWkta2ltLW9sZHUtc3Vydml2b3ItYWxsLXN0YXItMjAyNC1kb2t1bnVsbWF6bGlrLXZlLWlsZXRpc2ltLW9kdWx1LW95dW51bnUtaGFuZ2ktdGFraW0ta2F6YW5kaS1oYWZ0YW5pbi1naXRtZS1hZGF5bGFyaS1iZWxsaS1vbGR1LTcxMzMyMjY?hl=tr&gl=TR&ceid=TR%3Atr
27,Survivor All Star 2024 │ 27 Mayıs 2024,TV8,Eğlence,2024-05-27T23:01:12Z,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LnR2OC5jb20udHIvc3Vydml2b3Ivc3Vydml2b3ItYWxsLXN0YXItMjAyNC0yNy1tYXlpcy0yMDI0LTE1MDIzMC12aWRlby5odG3SAVlodHRwczovL3d3dy50djguY29tLnRyL2FtcC9zdXJ2aXZvci9zdXJ2aXZvci1hbGwtc3Rhci0yMDI0LTI3LW1heWlzLTIwMjQtMTUwMjMwLXZpZGVvLmh0bQ?hl=tr&gl=TR&ceid=TR%3Atr
28,Survivor'da elenen isim belli oluyor! Düello oyunu öncesi 'kalp' emojili paylaşım: 'Böyle aşk görülmedi',CNN TÜRK,Eğlence,2024-05-28T16:23:00Z,news.google.com/articles/CBMikAFodHRwczovL3d3dy5jbm50dXJrLmNvbS9tYWdhemluL2dhbGVyaS9zdXJ2aXZvcmRhLWVsZW5lbi1pc2ltLWJlbGxpLW9sdXlvci1kdWVsbG8tb3l1bnUtb25jZXNpLWthbHAtZW1vamlsaS1wYXlsYXNpbS1ib3lsZS1hc2stZ29ydWxtZWRpLTIxMTg1NDHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
29,SURVIVOR DOKUNULMAZLIK OYUNU 27 Mayıs Pazartesi - Survivor dokunulmazlık oyunu hangi takım kazandı?,Aspor,Eğlence,2024-05-27T20:32:43Z,news.google.com/articles/CBMijAFodHRwczovL3d3dy5hc3Bvci5jb20udHIvbWFnYXppbi8yMDI0LzA1LzI3L3N1cnZpdm9yLWRva3VudWxtYXpsaWstb3l1bnUtMjctbWF5aXMtcGF6YXJ0ZXNpLXN1cnZpdm9yLWRva3VudWxtYXpsaWstb3l1bnUtaGFuZ2ktdGFraW0ta2F6YW5kadIBkAFodHRwczovL3d3dy5hc3Bvci5jb20udHIvbWFnYXppbi8yMDI0LzA1LzI3L3N1cnZpdm9yLWRva3VudWxtYXpsaWstb3l1bnUtMjctbWF5aXMtcGF6YXJ0ZXNpLXN1cnZpdm9yLWRva3VudWxtYXpsaWstb3l1bnUtaGFuZ2ktdGFraW0ta2F6YW5kaS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
