ID,Headline,Source,Category,Time,URL
1,Gaziantep'te kuduz vakası: İki mahalle karantinada,Memurlar,Sağlık,2024-05-28T08:23:00Z,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3Lm1lbXVybGFyLm5ldC9oYWJlci8xMTAzMTIyL2dhemlhbnRlcC10ZS1rdWR1ei12YWthc2ktaWtpLW1haGFsbGUta2FyYW50aW5hZGEuaHRtbNIBY2h0dHBzOi8vd3d3Lm1lbXVybGFyLm5ldC9oYWJlci8xMTAzMTIyL2dhemlhbnRlcC10ZS1rdWR1ei12YWthc2ktaWtpLW1haGFsbGUta2FyYW50aW5hZGEuaHRtbD9hbXA9MQ?hl=tr&gl=TR&ceid=TR%3Atr
2,Gaziantep'te iki köy 'kuduz' nedeniyle 6 ay boyunca karantinaya alındı,Odatv,Sağlık,2024-05-28T08:41:52Z,news.google.com/articles/CBMiamh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvZ2F6aWFudGVwdGUtaWtpLWtveS1rdWR1ei1uZWRlbml5bGUtNi1heS1ib3l1bmNhLWthcmFudGluYXlhLWFsaW5kaS0xMjAwNDU4NzjSAW5odHRwczovL3d3dy5vZGF0di5jb20vYW1wL2d1bmNlbC9nYXppYW50ZXB0ZS1pa2kta295LWt1ZHV6LW5lZGVuaXlsZS02LWF5LWJveXVuY2Eta2FyYW50aW5heWEtYWxpbmRpLTEyMDA0NTg3OA?hl=tr&gl=TR&ceid=TR%3Atr
3,Gaziantep'te kuduz vakası: İki mahalle karantinada - Son Dakika Haberleri,TRT Haber,Sağlık,2024-05-28T08:21:00Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9zYWdsaWsvZ2F6aWFudGVwdGUta3VkdXotdmFrYXNpLWlraS1tYWhhbGxlLWthcmFudGluYWRhLTg2MDMxMC5odG1s0gEA?hl=tr&gl=TR&ceid=TR%3Atr
4,O şehir kuduz köpek dehşetiyle panik halinde! 6 ay karantina olacak!,TV100,Sağlık,2024-05-28T08:10:00Z,news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LnR2MTAwLmNvbS9vLXNlaGlyLWt1ZHV6LWtvcGVrLWRlaHNldGl5bGUtcGFuaWstaGFsaW5kZS02LWF5LWthcmFudGluYS1vbGFjYWstaGFiZXItNzU3NDM40gFpaHR0cHM6Ly93d3cudHYxMDAuY29tL2FtcC9vLXNlaGlyLWt1ZHV6LWtvcGVrLWRlaHNldGl5bGUtcGFuaWstaGFsaW5kZS02LWF5LWthcmFudGluYS1vbGFjYWstaGFiZXItNzU3NDM4?hl=tr&gl=TR&ceid=TR%3Atr
5,Çinli bilim insanları sahte Ebola virüsü geliştirdi: 3 günde öldürüyor,Sözcü,Sağlık,2024-05-28T06:47:00Z,news.google.com/articles/CBMiZWh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9jaW5saS1iaWxpbS1pbnNhbmxhcmktc2FodGUtZWJvbGEtdmlydXN1LWdlbGlzdGlyZGktMy1ndW5kZS1vbGR1cnV5b3ItcDUwNDY00gFpaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9jaW5saS1iaWxpbS1pbnNhbmxhcmktc2FodGUtZWJvbGEtdmlydXN1LWdlbGlzdGlyZGktMy1ndW5kZS1vbGR1cnV5b3ItcDUwNDY0?hl=tr&gl=TR&ceid=TR%3Atr
6,"Çinli bilim insanları mutant ebola virüsü yarattı… Sonuçlar kan dondurucu… Tüm güvenlik önlemlerini aşıyor, üç günde öldürüyor!",Hürriyet,Sağlık,2024-05-28T11:02:00Z,news.google.com/articles/CBMipgFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvZHVueWEvY2lubGktYmlsaW0taW5zYW5sYXJpLW11dGFudC1lYm9sYS12aXJ1c3UteWFyYXR0aS1zb251Y2xhci1rYW4tZG9uZHVydWN1LXR1bS1ndXZlbmxpay1vbmxlbWxlcmluaS1hc2l5b3ItdWMtZ3VuZGUtb2xkdXJ1eW9yLTQyNDY4Nzg50gEA?hl=tr&gl=TR&ceid=TR%3Atr
7,Çinli bilim insanları sahte Ebola virüsü geliştirdi! Bulaştığı kişileri 3 günde öldürüyor,Son Dakika,Sağlık,2024-05-28T07:01:57Z,news.google.com/articles/CBMiWGh0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vZHVueWEvaGFiZXItY2lubGktYmlsaW0taW5zYW5sYXJpLXNhaHRlLWVib2xhLXZpcnVzdS0xNzM3MDc5Ny_SAVZodHRwczovL3d3dy5zb25kYWtpa2EuY29tL2FtcC9oYWJlci1jaW5saS1iaWxpbS1pbnNhbmxhcmktc2FodGUtZWJvbGEtdmlydXN1LTE3MzcwNzk3Lw?hl=tr&gl=TR&ceid=TR%3Atr
8,Yeni Virüs Adım Adım Türkiye'ye Geliyor! Bu Belirtiler Varsa 3 Gün İçinde Öldürüyor,Halk TV,Sağlık,2024-05-28T10:27:00Z,news.google.com/articles/CBMiYWh0dHBzOi8vaGFsa3R2LmNvbS50ci95YXNhbS95ZW5pLXZpcnVzLWFkaW0tYWRpbS10dXJraXlleWUtZ2VsaXlvci0zLWd1bi1pY2luZGUtb2xkdXJ1eW9yLTgzODE5MWjSAW1odHRwczovL2hhbGt0di5jb20udHIvc2VydmljZS9hbXAveWFzYW0veWVuaS12aXJ1cy1hZGltLWFkaW0tdHVya2l5ZXllLWdlbGl5b3ItMy1ndW4taWNpbmRlLW9sZHVydXlvci04MzgxOTFo?hl=tr&gl=TR&ceid=TR%3Atr
9,DSÖ ve UNICEF'ten uyarı: Avrupa çapında kızamık vakaları artıyor,NTV,Sağlık,2024-05-28T11:56:00Z,news.google.com/articles/CBMicmh0dHBzOi8vd3d3Lm50di5jb20udHIvZHVueWEvZHNvLXZlLXVuaWNlZnRlbi11eWFyaS1hdnJ1cGEtY2FwaW5kYS1raXphbWlrLXZha2FsYXJpLWFydGl5b3IsSnA3a1VyOF9jRVNDNXlJcnRxOVl4UdIBdmh0dHBzOi8vd3d3Lm50di5jb20udHIvYW1wL2R1bnlhL2Rzby12ZS11bmljZWZ0ZW4tdXlhcmktYXZydXBhLWNhcGluZGEta2l6YW1pay12YWthbGFyaS1hcnRpeW9yLEpwN2tVcjhfY0VTQzV5SXJ0cTlZeFE?hl=tr&gl=TR&ceid=TR%3Atr
10,Anne babalar dikkat... Sayı hızla artıyor,Odatv,Sağlık,2024-05-28T15:38:25Z,news.google.com/articles/CBMiTWh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvYW5uZS1iYWJhbGFyLWRpa2thdC1zYXlpLWhpemxhLWFydGl5b3ItMTIwMDQ1OTc20gFRaHR0cHM6Ly93d3cub2RhdHYuY29tL2FtcC9ndW5jZWwvYW5uZS1iYWJhbGFyLWRpa2thdC1zYXlpLWhpemxhLWFydGl5b3ItMTIwMDQ1OTc2?hl=tr&gl=TR&ceid=TR%3Atr
11,Avrupa'da kızamık vakaları artıyor; BM risk uyarısında bulundu,Euronews,Sağlık,2024-05-28T15:57:34Z,news.google.com/articles/CBMidGh0dHBzOi8vdHIuZXVyb25ld3MuY29tL3NhZ2xpay8yMDI0LzA1LzI4L2F2cnVwYWRhLWtpemFtaWstdmFrYWxhcmktYXJ0aXlvci1ibS1jb2N1a2xhci1pY2luLXJpc2stdXlhcmlzaW5kYS1idWx1bmR10gEA?hl=tr&gl=TR&ceid=TR%3Atr
12,DSÖ ve UNICEF açıkladı: Kızamık vakaları artıyor,Diken,Sağlık,2024-05-28T11:09:11Z,news.google.com/articles/CBMiSWh0dHBzOi8vd3d3LmRpa2VuLmNvbS50ci9kc28tdmUtdW5pY2VmLWFjaWtsYWRpLWtpemFtaWstdmFrYWxhcmktYXJ0aXlvci_SAQA?hl=tr&gl=TR&ceid=TR%3Atr
13,"Uzman doktor, 'yaşlanmayı yavaşlatabilecek tek egzersizi' açıkladı",Cumhuriyet,Sağlık,2024-05-28T11:39:00Z,news.google.com/articles/CBMicmh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3lhc2FtL2dhbGVyaS11em1hbi1kb2t0b3IteWFzbGFubWF5aS15YXZhc2xhdGFiaWxlY2VrLXRlay1lZ3plcnNpemktYWNpa2xhZGktMjIxMTQ4MdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
14,Bilim insanları açıkladı: Yaşlanmayı durduran tek egzersiz,Odatv,Sağlık,2024-05-28T11:25:36Z,news.google.com/articles/CBMiYGh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvYmlsaW0taW5zYW5sYXJpLWFjaWtsYWRpLXlhc2xhbm1heWktZHVyZHVyYW4tdGVrLWVnemVyc2l6LTEyMDA0NTkyMtIBZGh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9hbXAvZ3VuY2VsL2JpbGltLWluc2FubGFyaS1hY2lrbGFkaS15YXNsYW5tYXlpLWR1cmR1cmFuLXRlay1lZ3plcnNpei0xMjAwNDU5MjI?hl=tr&gl=TR&ceid=TR%3Atr
15,Yaşlanmak Tedavi Edilebilir Bir Hastalık Olabilir mi?,Onedio,Sağlık,2024-05-28T10:25:19Z,news.google.com/articles/CBMiVWh0dHBzOi8vb25lZGlvLmNvbS9oYWJlci95YXNsYW5tYWstdGVkYXZpLWVkaWxlYmlsaXItYmlyLWhhc3RhbGlrLW9sYWJpbGlyLW1pLTEyMjQ0NjLSAQA?hl=tr&gl=TR&ceid=TR%3Atr
16,Sağlıklı yaşlanma | Bülent KATARCI Köşe Yazısı,Hürriyet,Sağlık,2024-05-27T12:47:00Z,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci95YXphcmxhci9idWxlbnQta2F0YXJjaS9zYWdsaWtsaS15YXNsYW5tYS00MjQ2ODQyNtIBAA?hl=tr&gl=TR&ceid=TR%3Atr
17,Diyabet hastası çocuğunu şekerle besleyen anneye hapis cezası,Gazete Duvar,Sağlık,2024-05-28T13:08:00Z,news.google.com/articles/CBMie2h0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9kaXlhYmV0LWhhc3Rhc2ktY29jdWd1bnUtc2VrZXJsZS1iZXNsZWRpLTQteWFzaW5kYWtpLWthcm1pdHktaGF5YXRpbmkta2F5YmV0dGktaGFiZXItMTY5NDY0N9IBf2h0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hbXAvZGl5YWJldC1oYXN0YXNpLWNvY3VndW51LXNla2VybGUtYmVzbGVkaS00LXlhc2luZGFraS1rYXJtaXR5LWhheWF0aW5pLWtheWJldHRpLWhhYmVyLTE2OTQ2NDc?hl=tr&gl=TR&ceid=TR%3Atr
18,Dört yaşındaki şeker hastası kızını şekerle öldürdü,Odatv,Sağlık,2024-05-28T10:02:10Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvNC15YXNpbmRha2ktc2VrZXItaGFzdGFzaS1raXppbmktc2VrZXJsZS1iZXNsZXllcmVrLW9sZHVyZHUtMTIwMDQ1OTAy0gFmaHR0cHM6Ly93d3cub2RhdHYuY29tL2FtcC9ndW5jZWwvNC15YXNpbmRha2ktc2VrZXItaGFzdGFzaS1raXppbmktc2VrZXJsZS1iZXNsZXllcmVrLW9sZHVyZHUtMTIwMDQ1OTAy?hl=tr&gl=TR&ceid=TR%3Atr
19,ABD'de trajik olay: 4 yaşındaki kızı şekerli diyetle öldüren anne suçlu bulundu,Son Mühür Haber,Sağlık,2024-05-28T09:47:00Z,news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnNvbm11aHVyLmNvbS9hYmRkZS10cmFqaWstb2xheS00LXlhc2luZGFraS1raXppLXNla2VybGktZGl5ZXRsZS1vbGR1cmVuLWFubmUtc3VjbHUtYnVsdW5kddIBamh0dHBzOi8vd3d3LnNvbm11aHVyLmNvbS9hYmRkZS10cmFqaWstb2xheS00LXlhc2luZGFraS1raXppLXNla2VybGktZGl5ZXRsZS1vbGR1cmVuLWFubmUtc3VjbHUtYnVsdW5kdS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
20,4 yaşındaki şeker hastası kızını şekerle besleyerek öldürdü,T24,Sağlık,2024-05-28T09:35:00Z,news.google.com/articles/CBMiXGh0dHBzOi8vdDI0LmNvbS50ci9oYWJlci80LXlhc2luZGFraS1zZWtlci1oYXN0YXNpLWtpemluaS1zZWtlcmxlLWJlc2xleWVyZWstb2xkdXJkdSwxMTY2OTEx0gEA?hl=tr&gl=TR&ceid=TR%3Atr
21,Nasıl oturduğunuza dikkat edin: Sağlam bir vücut için bunları yapın,Sözcü,Sağlık,2024-05-28T12:10:00Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9uYXNpbC1vdHVyZHVndW51emEtZGlra2F0LWVkaW4tc2FnbGFtLWJpci12dWN1dC1pY2luLWJ1bmxhcmkteWFwaW4tcDUwNTU40gFmaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9uYXNpbC1vdHVyZHVndW51emEtZGlra2F0LWVkaW4tc2FnbGFtLWJpci12dWN1dC1pY2luLWJ1bmxhcmkteWFwaW4tcDUwNTU4?hl=tr&gl=TR&ceid=TR%3Atr
22,Çalışan binlerce kişi aynı sorunu yaşıyor! 'Saat başı mutlaka ara verilmesi gerekiyor',F5Haber,Sağlık,2024-05-28T06:03:00Z,news.google.com/articles/CBMifmh0dHBzOi8vd3d3LmY1aGFiZXIuY29tL2NhbGlzYW4tYmlubGVyY2Uta2lzaS1heW5pLXNvcnVudS15YXNpeW9yLXNhYXQtYmFzaS1tdXRsYWthLWFyYS12ZXJpbG1lc2ktZ2VyZWtpeW9yLWZvdG9nYWxlcmktNjYyNjQxMdIBggFodHRwczovL3d3dy5mNWhhYmVyLmNvbS9hbXAvY2FsaXNhbi1iaW5sZXJjZS1raXNpLWF5bmktc29ydW51LXlhc2l5b3Itc2FhdC1iYXNpLW11dGxha2EtYXJhLXZlcmlsbWVzaS1nZXJla2l5b3ItZm90b2dhbGVyaS02NjI2NDEx?hl=tr&gl=TR&ceid=TR%3Atr
23,Çalışanlarda mesleki rahatsızlıklar,"Yeni Alanya Gazetesi.ALANYANIN HABER SİTESİ, DİM MEDYA,",Sağlık,2024-05-20T22:44:00Z,news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LnllbmlhbGFueWEuY29tL21ha2FsZS8yMDI0ODc4Ny9lcmthbi1kZW1pcmFsL2NhbGlzYW5sYXJkYS1tZXNsZWtpLXJhaGF0c2l6bGlrbGFy0gFgaHR0cHM6Ly93d3cueWVuaWFsYW55YS5jb20vYW1wL21ha2FsZS8yMDI0ODc4Ny9lcmthbi1kZW1pcmFsL2NhbGlzYW5sYXJkYS1tZXNsZWtpLXJhaGF0c2l6bGlrbGFy?hl=tr&gl=TR&ceid=TR%3Atr
24,Soğuk algınlığı diye hastaneye gitmişti… Ölümcül hastalığın pençesine düştü: Yaşam destek ünitesinde ölümü bekliyordu…,Hürriyet,Sağlık,2024-05-28T13:00:00Z,news.google.com/articles/CBMiogFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvc2lyYS1kaXNpL3NvZ3VrLWFsZ2lubGlnaS1kaXllLWhhc3RhbmV5ZS1naXRtaXN0aS1vbHVtY3VsLWhhc3RhbGlnaW4tcGVuY2VzaW5lLWR1c3R1LXlhc2FtLWRlc3Rlay11bml0ZXNpbmRlLW9sdW11LWJla2xpeW9yZHUtNDI0Njg4OTnSAaYBaHR0cHM6Ly93d3cuaHVycml5ZXQuY29tLnRyL2FtcC9zaXJhLWRpc2kvc29ndWstYWxnaW5saWdpLWRpeWUtaGFzdGFuZXllLWdpdG1pc3RpLW9sdW1jdWwtaGFzdGFsaWdpbi1wZW5jZXNpbmUtZHVzdHUteWFzYW0tZGVzdGVrLXVuaXRlc2luZGUtb2x1bXUtYmVrbGl5b3JkdS00MjQ2ODg5OQ?hl=tr&gl=TR&ceid=TR%3Atr
25,Masum görünen bu belirtiler MS'e işaret edebilir! - Haberler,Habertürk,Sağlık,2024-05-28T09:37:06Z,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vbWFzdW0tZ29ydW5lbi1idS1iZWxpcnRpbGVyLW1zLWUtaXNhcmV0LWVkZWJpbGlyLWhhYmVybGVyLTM2OTAzMTPSAQA?hl=tr&gl=TR&ceid=TR%3Atr
