ID,Headline,Source,Category,Time,URL
1,Kaan Ayhan'dan Mert Hakan Yandaş'a gönderme!,Sporx,Spor,2024-05-28T15:02:00Z,news.google.com/articles/CBMiUWh0dHBzOi8vd3d3LnNwb3J4LmNvbS9rYWFuLWF5aGFuLWRhbi1tZXJ0LWhha2FuLXlhbmRhcy1hLWdvbmRlcm1lLVNYSEJRMTA3MTYwNVNYUdIBVWh0dHBzOi8vd3d3LnNwb3J4LmNvbS9hbXAva2Fhbi1heWhhbi1kYW4tbWVydC1oYWthbi15YW5kYXMtYS1nb25kZXJtZS1TWEhCUTEwNzE2MDVTWFE?hl=tr&gl=TR&ceid=TR%3Atr
2,Şampiyonluk kutlamalarına rekor sayıda katılım!,beinsports.com.tr,Spor,2024-05-27T18:34:43Z,news.google.com/articles/CBMiUmh0dHBzOi8vYmVpbnNwb3J0cy5jb20udHIvaGFiZXIvc2FtcGl5b25sdWsta3V0bGFtYWxhcmluYS1pbmFuaWxtYXotc2F5aWRhLWthdGlsaW3SAQA?hl=tr&gl=TR&ceid=TR%3Atr
3,"Mauro Icardi: ""Taklit konusunda iyisiniz"" - Futbol",Webaslan,Spor,2024-05-28T17:54:08Z,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LndlYmFzbGFuLmNvbS9mdXRib2wvbWF1cm8taWNhcmRpLXRha2xpdC1rb251c3VuZGEtaXlpc2luaXotU1hIQlExNTYwMTlTWFHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
4,Avrupa'da şampiyonlar listesi açıklandı: İlk 10'da tek Türk takımı var,NTV Spor,Spor,2024-05-28T11:00:40Z,news.google.com/articles/CBMiggFodHRwczovL3d3dy5udHZzcG9yLm5ldC9mb3RvLWdhbGVyaS9hdnJ1cGEtZGEtc2FtcGl5b25sYXItbGlzdGVzaS1hY2lrbGFuZGktaWxrLTEwLWRhLXRlay10dXJrLXRha2ltaS12YXItNjY1NWI5NThmNTU2YmUwMDRmNTEzZWFm0gGGAWh0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2FtcC9mb3RvLWdhbGVyaS9hdnJ1cGEtZGEtc2FtcGl5b25sYXItbGlzdGVzaS1hY2lrbGFuZGktaWxrLTEwLWRhLXRlay10dXJrLXRha2ltaS12YXItNjY1NWI5NThmNTU2YmUwMDRmNTEzZWFm?hl=tr&gl=TR&ceid=TR%3Atr
5,Aziz Yıldırım: Fenerbahçe'nin en az 16-18 milyar lira borcu var,NTV Spor,Spor,2024-05-28T18:42:14Z,news.google.com/articles/CBMie2h0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2ZvdG8tZ2FsZXJpL2F6aXoteWlsZGlyaW0tZmVuZXJiYWhjZS1uaW4tZW4tYXotMTYtMTgtbWlseWFyLWxpcmEtYm9yY3UtdmFyLTY2NTYyNTg2ZjU1NmJlMDA0ZjUxNDNlM9IBf2h0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2FtcC9mb3RvLWdhbGVyaS9heml6LXlpbGRpcmltLWZlbmVyYmFoY2UtbmluLWVuLWF6LTE2LTE4LW1pbHlhci1saXJhLWJvcmN1LXZhci02NjU2MjU4NmY1NTZiZTAwNGY1MTQzZTM?hl=tr&gl=TR&ceid=TR%3Atr
6,SON DAKİKA FENERBAHÇE HABERİ: Aziz Yıldırım'dan Ali Koç'a çok sert sözler: Fenerbahçe 'Koçspor' oldu,Skorer,Spor,2024-05-28T19:06:52Z,news.google.com/articles/CBMiUGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9za29yZXIvYXppei15aWxkaXJpbS1mZW5lcmJhaGNlLWtvY3Nwb3Itb2xkdS03MTMzODA00gEA?hl=tr&gl=TR&ceid=TR%3Atr
7,Aziz Yıldırım: Jose Mourinho ile yüz yüze görüşeceğim - Fenerbahçe (FB) Haberleri Spor,Fanatik,Spor,2024-05-28T16:13:01Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmZhbmF0aWsuY29tLnRyL2ZlbmVyYmFoY2UvYXppei15aWxkaXJpbS1qb3NlLW1vdXJpbmhvLWlsZS15dXoteXV6ZS1nb3J1c2VjZWdpbS0yNTQ4ODYy0gEA?hl=tr&gl=TR&ceid=TR%3Atr
8,"Aziz Yıldırım: Fenerbahçe'de para sorunu yok, Mourinho ne isterse yapacağız",Hürriyet,Spor,2024-05-28T16:12:42Z,news.google.com/articles/CBMid2h0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9zcG9yYXJlbmEvYXppei15aWxkaXJpbS1mZW5lcmJhaGNlZGUtcGFyYS1zb3J1bnUteW9rLW1vdXJpbmhvLW5lLWlzdGVyc2UteWFwYWNhZ2l6LTQyNDY4OTM30gEA?hl=tr&gl=TR&ceid=TR%3Atr
9,Antalyaspor ile anlaşmıştı: Alex de Souza imzaya geliyor!,Cumhuriyet,Spor,2024-05-28T06:57:08Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3Nwb3IvYW50YWx5YXNwb3ItaWxlLWFubGFzbWlzdGktYWxleC1kZS1zb3V6YS1pbXpheWEtZ2VsaXlvci0yMjExMzQ10gFmaHR0cHM6Ly93d3cuY3VtaHVyaXlldC5jb20udHIvYW1wL3Nwb3IvYW50YWx5YXNwb3ItaWxlLWFubGFzbWlzdGktYWxleC1kZS1zb3V6YS1pbXpheWEtZ2VsaXlvci0yMjExMzQ1?hl=tr&gl=TR&ceid=TR%3Atr
10,Antalya'da Alex izdihamı - Son Dakika Spor Haberleri,Hürriyet,Spor,2024-05-28T19:35:03Z,news.google.com/articles/CBMiRmh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9zcG9yYXJlbmEvYW50YWx5YWRhLWFsZXgtaXpkaWhhbWktNDI0NjkwMzHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
