ID,Headline,Source,Category,Time,URL
1,Meteoroloji yeni hava durumu raporu yayımladı! Dikkat: Sıcaklıklar artıyor,Milliyet,Türkiye,2024-05-28T16:44:16Z,news.google.com/articles/CBMic2h0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vbWV0ZW9yb2xvamkteWVuaS1oYXZhLWR1cnVtdS1yYXBvcnUteWF5aW1sYWRpLWRpa2thdC1zaWNha2xpa2xhci1hcnRpeW9yLTcxMzM3NDfSAQA?hl=tr&gl=TR&ceid=TR%3Atr
2,Ankara'da sağanak,Anadolu Ajansı,Türkiye,2024-05-28T11:50:14Z,news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LmFhLmNvbS50ci90ci9wZy9mb3RvLWdhbGVyaS8yMDI0NTI4MTI1NTRfYW5rYXJhZGEtc2FnYW5hay8w0gEA?hl=tr&gl=TR&ceid=TR%3Atr
3,"Meteoroloji'den 19 il için sarı kodlu uyarı: Sıcaklık azalıyor, kuvvetli yağış geliyor! (Yeni haftada hava nasıl olacak?)",NTV,Türkiye,2024-05-28T06:09:00Z,news.google.com/articles/CBMirwFodHRwczovL3d3dy5udHYuY29tLnRyL2dhbGVyaS90dXJraXllL21ldGVvcm9sb2ppZGVuLTE5LWlsLWljaW4tc2FyaS1rb2RsdS11eWFyaS1zaWNha2xpay1hemFsaXlvci1rdXZ2ZXRsaS15YWdpcy1nZWxpeW9yLXllbmktaGFmdGFkYS1oYXZhLW5hc2lsLW9sYWNhayxrMEJsUmNlWUxrZVpwWWJrejVzclhn0gGzAWh0dHBzOi8vd3d3Lm50di5jb20udHIvYW1wL2dhbGVyaS90dXJraXllL21ldGVvcm9sb2ppZGVuLTE5LWlsLWljaW4tc2FyaS1rb2RsdS11eWFyaS1zaWNha2xpay1hemFsaXlvci1rdXZ2ZXRsaS15YWdpcy1nZWxpeW9yLXllbmktaGFmdGFkYS1oYXZhLW5hc2lsLW9sYWNhayxrMEJsUmNlWUxrZVpwWWJrejVzclhn?hl=tr&gl=TR&ceid=TR%3Atr
4,Ankara'da sağanak yağmur başladı İhlas Haber Ajansı,İhlas Haber Ajansı,Türkiye,2024-05-28T10:10:00Z,news.google.com/articles/CBMiUGh0dHBzOi8vd3d3LmloYS5jb20udHIvYW5rYXJhLWhhYmVybGVyaS9hbmthcmFkYS1zYWdhbmFrLXlhZ211ci1iYXNsYWRpLTg2MjU5MDIz0gEA?hl=tr&gl=TR&ceid=TR%3Atr
5,"Hayvan hakları savunucuları 257 bin imza topladı: ""Öldürme kararından vazgeçin!""",BirGün,Türkiye,2024-05-28T10:02:00Z,news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmJpcmd1bi5uZXQvaGFiZXIvaGF5dmFuLWhha2xhcmktc2F2dW51Y3VsYXJpLTI1Ny1iaW4taW16YS10b3BsYWRpLW9sZHVybWUta2FyYXJpbmRhbi12YXpnZWNpbi01MzMyOTHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
6,"Özgür Özel'den sahipsiz sokak hayvanları düzenlemesine tepki: Öldürmek çözüm değil, kısırlaştırma kampanyası başlatılmalı",NTV,Türkiye,2024-05-28T12:36:00Z,news.google.com/articles/CBMiqwFodHRwczovL3d3dy5udHYuY29tLnRyL3R1cmtpeWUvb3pndXItb3plbGRlbi1zYWhpcHNpei1zb2thay1oYXl2YW5sYXJpZHV6ZW5sZW1lc2luZS10ZXBraS1vbGR1cm1lay1jb3p1bS1kZWdpbC1raXNpcmxhc3Rpcm1hLWthbXBhbnlhc2ktYmFzbGF0aWxtYWxpLDd2eFNSU0picEVXa1E4R0xkempraUHSAa8BaHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvdHVya2l5ZS9vemd1ci1vemVsZGVuLXNhaGlwc2l6LXNva2FrLWhheXZhbmxhcmlkdXplbmxlbWVzaW5lLXRlcGtpLW9sZHVybWVrLWNvenVtLWRlZ2lsLWtpc2lybGFzdGlybWEta2FtcGFueWFzaS1iYXNsYXRpbG1hbGksN3Z4U1JTSmJwRVdrUThHTGR6amtpQQ?hl=tr&gl=TR&ceid=TR%3Atr
7,Avrupa'da sıkı düzenlemelerle yerleşim yerlerinde sahipsiz hayvanlara rastlanmıyor,TRT Haber,Türkiye,2024-05-28T08:34:00Z,news.google.com/articles/CBMiggFodHRwczovL3d3dy50cnRoYWJlci5jb20vaGFiZXIvZHVueWEvYXZydXBhZGEtc2lraS1kdXplbmxlbWVsZXJsZS15ZXJsZXNpbS15ZXJsZXJpbmRlLXNhaGlwc2l6LWhheXZhbmxhcmEtcmFzdGxhbm1peW9yLTg2MDMyMi5odG1s0gEA?hl=tr&gl=TR&ceid=TR%3Atr
8,Özgür Özel: KKM'yi kim çıkardıysa kul hakkını yiyenler onlardır,Dünya Gazetesi,Türkiye,2024-05-28T11:47:00Z,news.google.com/articles/CBMiaGh0dHBzOi8vd3d3LmR1bnlhLmNvbS9ndW5kZW0vb3pndXItb3plbC1ra215aS1raW0tY2lrYXJkaXlzYS1rdWwtaGFra2luaS15aXllbmxlci1vbmxhcmRpci1oYWJlcmktNzI5MzI10gEA?hl=tr&gl=TR&ceid=TR%3Atr
9,Erzincan'da İliç soruşturmasında şirketin yatırım projeleri müdürü tutuklandı,Hürriyet,Türkiye,2024-05-28T09:40:00Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9ndW5kZW0vZXJ6aW5jYW5kYS1pbGljLXNvcnVzdHVybWFzaW5kYS0xLWtpc2ktZGFoYS10dXR1a2xhbmRpLTQyNDY4ODEy0gEA?hl=tr&gl=TR&ceid=TR%3Atr
10,İliç'te bir toprak kayması daha - Sözcü,Sözcü,Türkiye,2024-05-27T15:09:00Z,news.google.com/articles/CBMiP2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9pbGljLXRlLWJpci10b3ByYWsta2F5bWFzaS1kYWhhLXA1MDM3NNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
11,Murat Kurum'dan Özgür Özel'e İliç yanıtı: Algıya ve yalana imza atmıştır,Milliyet,Türkiye,2024-05-28T18:12:13Z,news.google.com/articles/CBMicGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vbXVyYXQta3VydW1kYW4tb3pndXItb3plbGUtaWxpYy15YW5pdGktYWxnaXlhLXZlLXlhbGFuYS1pbXphLWF0bWlzdGlyLTcxMzM3OTTSAQA?hl=tr&gl=TR&ceid=TR%3Atr
12,İliç'te flaş gelişme... Yabancı isim tutuklandı,Odatv,Türkiye,2024-05-27T21:56:00Z,news.google.com/articles/CBMiUmh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvaWxpY3RlLWZsYXMtZ2VsaXNtZS15YWJhbmNpLWlzaW0tdHV0dWtsYW5kaS0xMjAwNDU4MTbSAVZodHRwczovL3d3dy5vZGF0di5jb20vYW1wL2d1bmNlbC9pbGljdGUtZmxhcy1nZWxpc21lLXlhYmFuY2ktaXNpbS10dXR1a2xhbmRpLTEyMDA0NTgxNg?hl=tr&gl=TR&ceid=TR%3Atr
