ID,Headline,Source,Category,Time,URL
1,SON DAKİKA HAVA DURUMU: İstanbul'da hava nasıl olacak? 19 ile sağanak uyarısı yapıldı...,Milliyet,Yerel,2024-05-28T07:25:09Z,news.google.com/articles/CBMie2h0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vc29uLWRha2lrYS1tZXRlb3JvbG9qaWRlbi1wZXMtcGVzZS11eWFyaS1nZWxkaS1kb2x1LXNhZ2FuYWstc2VsLWJhc2tpbmluYS1kaWtrYXQtNzEzMzM0OdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
2,İstanbul'da arkadaşlarıyla şakalaşan çocuk tramvayın altına düştü,Ensonhaber,Yerel,2024-05-28T17:28:02Z,news.google.com/articles/CBMiZGh0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2ljLWhhYmVyL2lzdGFuYnVsZGEtYXJrYWRhc2xhcml5bGEtc2FrYWxhc2FuLWNvY3VrLXRyYW12YXlpbi1hbHRpbmEtZHVzdHXSAWhodHRwczovL3d3dy5lbnNvbmhhYmVyLmNvbS9hbXAvaWMtaGFiZXIvaXN0YW5idWxkYS1hcmthZGFzbGFyaXlsYS1zYWthbGFzYW4tY29jdWstdHJhbXZheWluLWFsdGluYS1kdXN0dQ?hl=tr&gl=TR&ceid=TR%3Atr
3,"İstanbul'da toplu ulaşım yarın bedava mı? 29 Mayıs Çarşamba İETT, Metro, Metrobüs, Marmaray ücretsiz mi?",Ahaber,Yerel,2024-05-28T12:51:39Z,news.google.com/articles/CBMijQFodHRwczovL3d3dy5haGFiZXIuY29tLnRyL3lhc2FtLzIwMjQvMDUvMjgvaXN0YW5idWxkYS10b3BsdS11bGFzaW0teWFyaW4tYmVkYXZhLW1pLTI5LW1heWlzLWNhcnNhbWJhLWlldHQtbWV0cm8tbWV0cm9idXMtbWFybWFyYXktdWNyZXRzaXotbWnSAZEBaHR0cHM6Ly93d3cuYWhhYmVyLmNvbS50ci95YXNhbS8yMDI0LzA1LzI4L2lzdGFuYnVsZGEtdG9wbHUtdWxhc2ltLXlhcmluLWJlZGF2YS1taS0yOS1tYXlpcy1jYXJzYW1iYS1pZXR0LW1ldHJvLW1ldHJvYnVzLW1hcm1hcmF5LXVjcmV0c2l6LW1pL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
4,İstanbul yılın ilk 4 ayında turizmde rekor kırdı,Ensonhaber,Yerel,2024-05-28T07:24:22Z,news.google.com/articles/CBMiUmh0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2d1bmRlbS9pc3RhbmJ1bC15aWxpbi1pbGstNC1heWluZGEtdHVyaXptZGUtcmVrb3Ita2lyZGnSAVZodHRwczovL3d3dy5lbnNvbmhhYmVyLmNvbS9hbXAvZ3VuZGVtL2lzdGFuYnVsLXlpbGluLWlsay00LWF5aW5kYS10dXJpem1kZS1yZWtvci1raXJkaQ?hl=tr&gl=TR&ceid=TR%3Atr
5,İBB Boğaz manzaralı kafe açtı: Fiyatların uygunluğu sosyal medyada gündem oldu Fiyat Listesi Ağızları Açık Bıraktı,Halk TV,Yerel,2024-05-27T08:37:00Z,news.google.com/articles/CBMic2h0dHBzOi8vaGFsa3R2LmNvbS50ci9ndW5kZW0vaWJibmluLXllbmktYWN0aWdpLWJvZ2F6LW1hbnphcmFsaS1tZWthbmluLWZpeWF0LWxpc3Rlc2ktYWdpemxhcmktYWNpay1iaXJha3RpLTgzNzc1NmjSAX9odHRwczovL2hhbGt0di5jb20udHIvc2VydmljZS9hbXAvZ3VuZGVtL2liYm5pbi15ZW5pLWFjdGlnaS1ib2dhei1tYW56YXJhbGktbWVrYW5pbi1maXlhdC1saXN0ZXNpLWFnaXpsYXJpLWFjaWstYmlyYWt0aS04Mzc3NTZo?hl=tr&gl=TR&ceid=TR%3Atr
6,"İBB Başkanı İmamoğlu, Kılıçdaroğlu'nun ""hançer"" göndermesine yanıt verdi: Benim muhatap alacağım bir tarif değil",Haberler,Yerel,2024-05-28T18:34:24Z,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmhhYmVybGVyLmNvbS9wb2xpdGlrYS9pYmItYmFza2FuaS1pbWFtb2dsdS1raWxpY2Rhcm9nbHUtbnVuLWhhbmNlci0xNzM3MzM1MS1oYWJlcmkv0gFaaHR0cHM6Ly93d3cuaGFiZXJsZXIuY29tL2FtcC9pYmItYmFza2FuaS1pbWFtb2dsdS1raWxpY2Rhcm9nbHUtbnVuLWhhbmNlci0xNzM3MzM1MS1oYWJlcmkv?hl=tr&gl=TR&ceid=TR%3Atr
7,SON DAKİKA | İstanbul’da korkunç cinayet: 18 yaşındaki Eyüp’ün acı sonu! 3 gün önce...,Sabah,Yerel,2024-05-28T07:20:29Z,news.google.com/articles/CBMic2h0dHBzOi8vd3d3LnNhYmFoLmNvbS50ci9nYWxlcmkveWFzYW0vc29uLWRha2lrYS1pc3RhbmJ1bGRhLWtvcmt1bmMtY2luYXlldC0xOC15YXNpbmRha2ktZXl1cHVuLWFjaS1zb251LTMtZ3VuLW9uY2XSAXVodHRwczovL20uc2FiYWguY29tLnRyL2dhbGVyaS95YXNhbS9zb24tZGFraWthLWlzdGFuYnVsZGEta29ya3VuYy1jaW5heWV0LTE4LXlhc2luZGFraS1leXVwdW4tYWNpLXNvbnUtMy1ndW4tb25jZS9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
8,İSKİ BARAJ DOLULUK ORANI 28 Mayıs | Baraj doluluk oranı yüzde kaç? İstanbul baraj doluluk oranı!,Haberler,Yerel,2024-05-28T08:10:14Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmhhYmVybGVyLmNvbS9oYWJlcmxlci9pc2tpLWJhcmFqLWRvbHVsdWstb3JhbmktMjgtbWF5aXMtYmFyYWotZG9sdWx1ay0xNzM3MTE2Mi1oYWJlcmkv0gFdaHR0cHM6Ly93d3cuaGFiZXJsZXIuY29tL2FtcC9pc2tpLWJhcmFqLWRvbHVsdWstb3JhbmktMjgtbWF5aXMtYmFyYWotZG9sdWx1ay0xNzM3MTE2Mi1oYWJlcmkv?hl=tr&gl=TR&ceid=TR%3Atr
9,"İstanbul'da büyük elektrik kesintisi: O ilçelerde saatlerce olmayacak! İşte, 28 Mayıs elektrik kesinti listesi",Ensonhaber,Yerel,2024-05-28T08:09:50Z,news.google.com/articles/CBMie2h0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2JpbGdpL2lzdGFuYnVsZGEtYnV5dWstZWxla3RyaWsta2VzaW50aXNpLW8taWxjZWxlcmRlLXNhYXRsZXJjZS1vbG1heWFjYWstaXN0ZS0yOC1tYXlpcy1lbGVrdHJpa9IBf2h0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2FtcC9iaWxnaS9pc3RhbmJ1bGRhLWJ1eXVrLWVsZWt0cmlrLWtlc2ludGlzaS1vLWlsY2VsZXJkZS1zYWF0bGVyY2Utb2xtYXlhY2FrLWlzdGUtMjgtbWF5aXMtZWxla3RyaWs?hl=tr&gl=TR&ceid=TR%3Atr
10,İstanbul'dan Geriye Ne Kaldı?,Halk TV,Yerel,2024-05-27T12:27:07Z,news.google.com/articles/CBMiQGh0dHBzOi8vaGFsa3R2LmNvbS50ci9ndW5kZW0vaXN0YW5idWxkYW4tZ2VyaXllLW5lLWthbGRpLTgzNzg3OGjSAUxodHRwczovL2hhbGt0di5jb20udHIvc2VydmljZS9hbXAvZ3VuZGVtL2lzdGFuYnVsZGFuLWdlcml5ZS1uZS1rYWxkaS04Mzc4Nzho?hl=tr&gl=TR&ceid=TR%3Atr
11,Çağdaş ritüeller eşliğinde otantik kültürel bir deneyim | Gastronomi Turkey by Rafine,Gastronomi Turkey,Yerel,2024-05-28T06:57:34Z,news.google.com/articles/CBMiZWh0dHBzOi8vd3d3Lmdhc3Ryb25vbWl0dXJrZXkuY29tL2hhYmVyL2NhZ2Rhcy1yaXR1ZWxsZXItZXNsaWdpbmRlLW90YW50aWsta3VsdHVyZWwtYmlyLWRlbmV5aW0taDE2MzYy0gEA?hl=tr&gl=TR&ceid=TR%3Atr
12,İstanbul'da feci kaza! 10 araç birbirine girdi! Yola çıkacaklar dikkat...,Ahaber,Yerel,2024-05-28T12:36:05Z,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmFoYWJlci5jb20udHIveWFzYW0vMjAyNC8wNS8yOC9pc3RhbmJ1bGRhLWZlY2kta2F6YS0xMC1hcmFjLWJpcmJpcmluZS1naXJkaS15b2xhLWNpa2FjYWtsYXItZGlra2F00gEA?hl=tr&gl=TR&ceid=TR%3Atr
13,İmamoğlu: Bütün ilçelerimizi tek tek geziyoruz - Son Dakika Haberler Milliyet,Milliyet,Yerel,2024-05-28T10:39:21Z,news.google.com/articles/CBMiWGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vaW1hbW9nbHUtYnV0dW4taWxjZWxlcmltaXppLXRlay10ZWstZ2V6aXlvcnV6LTcxMzM1MjPSAQA?hl=tr&gl=TR&ceid=TR%3Atr
14,İstanbul'da yasa dışı avlanırken yakalanınca teknesine çekiçle vurdu,MSN,Yerel,2024-05-27T11:46:23Z,news.google.com/articles/CBMingFodHRwczovL3d3dy5tc24uY29tL3RyLXRyL2hhYmVyL290aGVyLyVDNCVCMHN0YW5idWwtZGEteWFzYS1kJUM0JUIxJUM1JTlGJUM0JUIxLWF2bGFuJUM0JUIxcmtlbi15YWthbGFuJUM0JUIxbmNhLXRla25lc2luZS0lQzMlQTdla2klQzMlQTdsZS12dXJkdS92aS1CQjFuN1B0VNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
