ID,Headline,Source,Category,Time,URL
1,New York Borsası Yükselişle Açıldı,Halk TV,İş,2024-05-28T16:19:25Z,news.google.com/articles/CBMiSmh0dHBzOi8vaGFsa3R2LmNvbS50ci9la29ub21pL25ldy15b3JrLWJvcnNhc2kteXVrc2VsaXNsZS1hY2lsZGktNC04MzgzMDJo0gFWaHR0cHM6Ly9oYWxrdHYuY29tLnRyL3NlcnZpY2UvYW1wL2Vrb25vbWkvbmV3LXlvcmstYm9yc2FzaS15dWtzZWxpc2xlLWFjaWxkaS00LTgzODMwMmg?hl=tr&gl=TR&ceid=TR%3Atr
2,"Nvidia, hisselerinin en yüksek seviyeye ulaşmasının ardından piyasa değerinde Apple'a yaklaştı Yazar Investing.com",Investing.com Türkiye,İş,2024-05-28T19:27:55Z,news.google.com/articles/CBMilQFodHRwczovL3RyLmludmVzdGluZy5jb20vbmV3cy9zdG9jay1tYXJrZXQtbmV3cy9udmlkaWEtaGlzc2VsZXJpbmluLWVuLXl1a3Nlay1zZXZpeWV5ZS11bGFzbWFzbm4tYXJkbmRhbi1waXlhc2EtZGVnZXJpbmRlLWFwcGxlYS15YWtsYXN0LTkzQ0gtMjg3MDYxMNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
3,Nvidia'nın etkisi ile Nasdaq tarihi zirvesinde,bigpara,İş,2024-05-28T15:17:00Z,news.google.com/articles/CBMic2h0dHBzOi8vYmlncGFyYS5odXJyaXlldC5jb20udHIvaGFiZXJsZXIvZWtvbm9taS1oYWJlcmxlcmkvbnZpZGlhbmluLWV0a2lzaS1pbGUtbmFzZGFxLXRhcmloaS16aXJ2ZXNpbmRlX0lEMTQ4MDc4OC_SAWRodHRwczovL21iaWdwYXJhLmh1cnJpeWV0LmNvbS50ci9hbXAvaGFiZXJsZXIvbnZpZGlhbmluLWV0a2lzaS1pbGUtbmFzZGFxLXRhcmloaS16aXJ2ZXNpbmRlLzE0ODA3ODgv?hl=tr&gl=TR&ceid=TR%3Atr
4,New York borsası karışık seyirle açıldı,Gazete Duvar,İş,2024-05-28T14:41:30Z,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9uZXcteW9yay1ib3JzYXNpLWthcmlzaWstc2V5aXJsZS1hY2lsZGktaGFiZXItMTY5NDY3NNIBWGh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hbXAvbmV3LXlvcmstYm9yc2FzaS1rYXJpc2lrLXNleWlybGUtYWNpbGRpLWhhYmVyLTE2OTQ2NzQ?hl=tr&gl=TR&ceid=TR%3Atr
5,Altın piyasası ABD verileri öncesi sakin,Bloomberg HT,İş,2024-05-28T07:14:46Z,news.google.com/articles/CBMiTGh0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9hbHRpbi1waXlhc2FzaS1hYmQtdmVyaWxlcmktb25jZXNpLXNha2luLTIzNTM3MjbSAVBodHRwczovL3d3dy5ibG9vbWJlcmdodC5jb20vYWx0aW4tcGl5YXNhc2ktYWJkLXZlcmlsZXJpLW9uY2VzaS1zYWtpbi0yMzUzNzI2LWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
6,Altın düşüyor... Son rakamlar,Odatv,İş,2024-05-28T07:44:03Z,news.google.com/articles/CBMidWh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvZ3JhbS1jZXlyZWsteWFyaW0tdGFtLWN1bWh1cml5ZXQtYWx0aW5pLW5lLWthZGFyLTI2LXN1YmF0LTIwMjQtYWx0aW4tZml5YXRsYXJpLTEyMDA0NTg1MtIBeWh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9hbXAvZ3VuY2VsL2dyYW0tY2V5cmVrLXlhcmltLXRhbS1jdW1odXJpeWV0LWFsdGluaS1uZS1rYWRhci0yNi1zdWJhdC0yMDI0LWFsdGluLWZpeWF0bGFyaS0xMjAwNDU4NTI?hl=tr&gl=TR&ceid=TR%3Atr
7,"İslam Memiş yanıtladı: Altın düşecek mi, yükselecek mi?",Gazete Duvar,İş,2024-05-28T09:35:45Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9pc2xhbS1tZW1pcy15YW5pdGxhZGktYWx0aW4tZHVzZWNlay1taS15dWtzZWxlY2VrLW1pLWdhbGVyaS0xNjk0NTc50gFmaHR0cHM6Ly93d3cuZ2F6ZXRlZHV2YXIuY29tLnRyL2FtcC9pc2xhbS1tZW1pcy15YW5pdGxhZGktYWx0aW4tZHVzZWNlay1taS15dWtzZWxlY2VrLW1pLWdhbGVyaS0xNjk0NTc5?hl=tr&gl=TR&ceid=TR%3Atr
8,Canlı altın fiyatları alış satış tablosu 28 Mayıs: Altın yükseliyor! Bugün çeyrek altın ve gram altın ne kadar oldu?,Habertürk,İş,2024-05-28T04:27:00Z,news.google.com/articles/CBMimAFodHRwczovL3d3dy5oYWJlcnR1cmsuY29tL2NhbmxpLWFsdGluLWZpeWF0bGFyaS1hbGlzLXNhdGlzLXRhYmxvc3UtMjgtbWF5aXMtMjAyNC1hbHRpbi15dWtzZWxpeW9yLWJ1Z3VuLWNleXJlay1hbHRpbi12ZS1ncmFtLWFsdGluLW5lLWthZGFyLW9sZHUtMzY5MDE3OdIBmgFodHRwczovL20uaGFiZXJ0dXJrLmNvbS9jYW5saS1hbHRpbi1maXlhdGxhcmktYWxpcy1zYXRpcy10YWJsb3N1LTI4LW1heWlzLTIwMjQtYWx0aW4teXVrc2VsaXlvci1idWd1bi1jZXlyZWstYWx0aW4tdmUtZ3JhbS1hbHRpbi1uZS1rYWRhci1vbGR1LTM2OTAxNzktYW1w?hl=tr&gl=TR&ceid=TR%3Atr
9,Otomobil fiyatlarına 7 Temmuz ayarı! 300 bin liraya varan indirim,TELE1 TV,İş,2024-05-28T10:52:09Z,news.google.com/articles/CBMiXmh0dHBzOi8vdGVsZTEuY29tLnRyL290b21vYmlsLWZpeWF0bGFyaW5hLTctdGVtbXV6LWF5YXJpLTMwMC1iaW4tbGlyYXlhLXZhcmFuLWluZGlyaW0tMTA3NDQyMy_SAQA?hl=tr&gl=TR&ceid=TR%3Atr
10,Otomotivde yeni dönem: 7 Temmuz milat olacak - Son Dakika Haberleri,TRT Haber,İş,2024-05-28T07:00:00Z,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9ndW5kZW0vb3RvbW90aXZkZS15ZW5pLWRvbmVtLTctdGVtbXV6LW1pbGF0LW9sYWNhay04NjAyNTguaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
