ID,Headline,Source,Category,Time,URL
1,Kenan Doğulu'nun 50. yaş doğum günü partisine polis baskını,Odatv,Eğlence,2024-06-01T11:26:00Z,news.google.com/articles/CBMirAFodHRwczovL3d3dy5vZGF0di5jb20vbWFnYXppbi9rZW5hbi1kb2d1bHVudW4tZG9ndW0tZ3VudS1wYXJ0aXNpbmUtcG9saXMtbXVkYWhhbGVzaS15aWxtYXotZXJkb2dhbmEtc2V2aXNtZS1zb3J1c3Uta29tc3VsYXJpLXNpa2F5ZXRjaS1vbGR1LXBhcnRpeWUta2ltbGVyLWthdGlsZGktMTIwMDQ2NjYx0gGwAWh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9hbXAvbWFnYXppbi9rZW5hbi1kb2d1bHVudW4tZG9ndW0tZ3VudS1wYXJ0aXNpbmUtcG9saXMtbXVkYWhhbGVzaS15aWxtYXotZXJkb2dhbmEtc2V2aXNtZS1zb3J1c3Uta29tc3VsYXJpLXNpa2F5ZXRjaS1vbGR1LXBhcnRpeWUta2ltbGVyLWthdGlsZGktMTIwMDQ2NjYx?hl=tr&gl=TR&ceid=TR%3Atr
2,Kenan Doğulu'dan 50. yaş günü partisi: Hepimize gönderilmiş bir hediyesin,NTV,Eğlence,2024-06-01T14:14:55Z,news.google.com/articles/CBMiigFodHRwczovL3d3dy5udHYuY29tLnRyL2dhbGVyaS9uLWxpZmUvbWFnYXppbi9rZW5hbi1kb2d1bHVkYW4tNTAteWFzLWd1bnUtcGFydGlzaS1oZXBpbWl6ZS1nb25kZXJpbG1pcy1iaXItaGVkaXllc2luLHZiUzFvZnhRTDBtNklENmRnUTJYdUHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
3,"Kenan Doğulu'dan özür dilemeli parti! Doğulu, 50'nci yaş günü partisinde komşularına mektup gönderdi- Güncel magazin haberleri",Habertürk,Eğlence,2024-06-01T08:09:25Z,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20va2VuYW4tZG9ndWx1LWRhbi1venVyLWRpbGVtZWxpLXBhcnRpLTM2OTE1MTgtbWFnYXppbtIBSGh0dHBzOi8vbS5oYWJlcnR1cmsuY29tL2tlbmFuLWRvZ3VsdS1kYW4tb3p1ci1kaWxlbWVsaS1wYXJ0aS0zNjkxNTE4LWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
4,"50. yaşını kutlayan Beren Saat'in eşi Kenan Doğulu'nun doğum günü partisine polis baskını! Gecede Aşk-ı Memnu oyuncuları Kıvanç Tatlıtuğ, Selçuk Yöntem de vardı...",Sabah,Eğlence,2024-06-01T06:42:40Z,news.google.com/articles/CBMisAFodHRwczovL3d3dy5zYWJhaC5jb20udHIvZ2FsZXJpL21hZ2F6aW4vYmVyZW4tc2FhdGluLWVzaS1rZW5hbi1kb2d1bHVudW4tZG9ndW0tZ3VudS1wYXJ0aXNpbmUtcG9saXMtYmFza2luaS1nZWNlY2UtYXNrLWktbWVtbnUtb3l1bmN1bGFyaS1raXZhbmMtdGF0bGl0dWctc2VsY3VrLXlvbnRlbS1kZS12YXJkadIBAA?hl=tr&gl=TR&ceid=TR%3Atr
5,Haziran ayı bu burçlara uğurlu gelecek: Hangi burçlar aşkta ve işte kazanacak,Odatv,Eğlence,2024-06-01T12:27:24Z,news.google.com/articles/CBMiiQFodHRwczovL3d3dy5vZGF0di5jb20veWFzYW0vaGF6aXJhbi1heWktYnVyYy15b3J1bWxhcmktZW4tc2Fuc2xpLWJ1cmNsYXItaGFuZ2lsZXJpLW9sYWNhay1pa2l6bGVyLWFzbGFuLXRlcmF6aS1iYWxpay1hc2steW9ydW11LTEyMDA0NjY3MNIBjQFodHRwczovL3d3dy5vZGF0di5jb20vYW1wL3lhc2FtL2hhemlyYW4tYXlpLWJ1cmMteW9ydW1sYXJpLWVuLXNhbnNsaS1idXJjbGFyLWhhbmdpbGVyaS1vbGFjYWstaWtpemxlci1hc2xhbi10ZXJhemktYmFsaWstYXNrLXlvcnVtdS0xMjAwNDY2NzA?hl=tr&gl=TR&ceid=TR%3Atr
6,"HAZİRAN AYI BURÇ YORUMLARI 2024 || (Aygül Aydın) İletişimde Patlamalar Yaşanacak! Haziran'da Hangi Burcu Neler Bekliyor? İşte Yengeç, Aslan, Akrep, Oğlak, Kova, Balık Aylık Burç Yorumları Haziran 2024",Hürriyet,Eğlence,2024-05-30T15:14:22Z,news.google.com/articles/CBMi6AFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvbWFobXVyZS9oYXppcmFuLWF5aS1idXJjLXlvcnVtbGFyaS0yMDI0LWF5Z3VsLWF5ZGluLWlsZXRpc2ltZGUtcGF0bGFtYWxhci15YXNhbmFjYWstaGF6aXJhbmRhLWhhbmdpLWJ1cmN1LW5lbGVyLWJla2xpeW9yLWlzdGUteWVuZ2VjLWFzbGFuLWFrcmVwLW9nbGFrLWtvdmEtYmFsaWstYXlsaWstYnVyYy15b3J1bWxhcmktaGF6aXJhbi0yMDI0LTQyNDcwMDEy0gEA?hl=tr&gl=TR&ceid=TR%3Atr
7,"Altıncı Ay : 6 Sayısı , Bu Burçlara Para Yağdıracak",Halk TV,Eğlence,2024-06-01T18:08:11Z,news.google.com/articles/CBMiU2h0dHBzOi8vaGFsa3R2LmNvbS50ci95YXNhbS9hbHRpbmNpLWF5LTYtc2F5aXNpLWJ1LWJ1cmNsYXJhLXBhcmEteWFnZGlyYWNhay04Mzk0NjNo0gFfaHR0cHM6Ly9oYWxrdHYuY29tLnRyL3NlcnZpY2UvYW1wL3lhc2FtL2FsdGluY2ktYXktNi1zYXlpc2ktYnUtYnVyY2xhcmEtcGFyYS15YWdkaXJhY2FrLTgzOTQ2M2g?hl=tr&gl=TR&ceid=TR%3Atr
8,Parayı mıknatıs gibi çeken 4 burç belli oldu,Gerçek Gündem,Eğlence,2024-06-01T08:59:49Z,news.google.com/articles/CBMiWmh0dHBzOi8vd3d3LmdlcmNla2d1bmRlbS5jb20vYXN0cm9sb2ppL3BhcmF5aS1taWtuYXRpcy1naWJpLWNla2VuLTQtYnVyYy1iZWxsaS1vbGR1LTQ2MzQ4MNIBXmh0dHBzOi8vd3d3LmdlcmNla2d1bmRlbS5jb20vYW1wL2FzdHJvbG9qaS9wYXJheWktbWlrbmF0aXMtZ2liaS1jZWtlbi00LWJ1cmMtYmVsbGktb2xkdS00NjM0ODA?hl=tr&gl=TR&ceid=TR%3Atr
9,Kerem Bürsin ve Hande Doğandemir 11 yıl sonra bir arada - Magazin haberleri,Habertürk,Eğlence,2024-06-01T08:51:12Z,news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20va2VyZW0tYnVyc2luLXZlLWhhbmRlLWRvZ2FuZGVtaXItMTEteWlsLXNvbnJhLWJpci1hcmFkYS0zNjkxNTIzLW1hZ2F6aW7SAQA?hl=tr&gl=TR&ceid=TR%3Atr
10,Kerem Bürsin ile Hande Doğandemir yıllar sonra bir arada,NTV,Eğlence,2024-06-01T08:11:12Z,news.google.com/articles/CBMifGh0dHBzOi8vd3d3Lm50di5jb20udHIvZ2FsZXJpL24tbGlmZS9tYWdhemluL2tlcmVtLWJ1cnNpbi1pbGUtaGFuZGUtZG9nYW5kZW1pci15aWxsYXItc29ucmEtYmlyLWFyYWRhLFM0MVdZLXhZeWtXa3poYzhLdkNiT3fSAQA?hl=tr&gl=TR&ceid=TR%3Atr
