ID,Headline,Source,Category,Time,URL
1,Son dakika: İstanbul'da bina çöktü! Enkaz altından acı haber,Milliyet,Türkiye,2024-06-02T12:56:00Z,news.google.com/articles/CBMiYWh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vbGl2ZS1pc3RhbmJ1bGRhLWJpbmEtY29rdHUtY29rLXNheWlkYS1la2lwLXNldmstZWRpbGRpLTcxMzYwNzLSAQA?hl=tr&gl=TR&ceid=TR%3Atr
2,"Küçükçekmece'de 3 katlı bina çöktü: 1 kişi hayatını kaybetti, 6 aylık bir kız bebeğin durumu ağır",Odatv,Türkiye,2024-06-02T06:13:00Z,news.google.com/articles/CBMivAFodHRwczovL3d3dy5vZGF0di5jb20vZ3VuY2VsL2t1Y3VrY2VrbWVjZWRlLTMta2F0bGktYmluYS1jb2t0dS1kZW5pei1rdW11LWt1bGxhbmlsbWlzLTEta2lzaS1oYXlhdGluaS1rYXliZXR0aS04LWtpc2kteWFyYWxpLW9sYXJhay1rdXJ0YXJpbGRpLTYtYXlsaWstYmlyLWtpei1iZWJlZ2luLWR1cnVtdS1hZ2lyLTEyMDA0NjcyN9IBwAFodHRwczovL3d3dy5vZGF0di5jb20vYW1wL2d1bmNlbC9rdWN1a2Nla21lY2VkZS0zLWthdGxpLWJpbmEtY29rdHUtZGVuaXota3VtdS1rdWxsYW5pbG1pcy0xLWtpc2ktaGF5YXRpbmkta2F5YmV0dGktOC1raXNpLXlhcmFsaS1vbGFyYWsta3VydGFyaWxkaS02LWF5bGlrLWJpci1raXotYmViZWdpbi1kdXJ1bXUtYWdpci0xMjAwNDY3Mjc?hl=tr&gl=TR&ceid=TR%3Atr
3,"Ekrem İmamoğlu, Küçükçekmece'de çöken binanın enkazına gitti",Ensonhaber,Türkiye,2024-06-02T15:14:21Z,news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2d1bmRlbS9la3JlbS1pbWFtb2dsdS1rdWN1a2Nla21lY2VkZS1jb2tlbi1iaW5hbmluLWVua2F6aW5hLWdpdHRp0gFgaHR0cHM6Ly93d3cuZW5zb25oYWJlci5jb20vYW1wL2d1bmRlbS9la3JlbS1pbWFtb2dsdS1rdWN1a2Nla21lY2VkZS1jb2tlbi1iaW5hbmluLWVua2F6aW5hLWdpdHRp?hl=tr&gl=TR&ceid=TR%3Atr
4,Küçükçekmece'de çöken binayla ilgili 2 kişi gözaltında - Son Dakika Haberleri,TRT Haber,Türkiye,2024-06-02T11:46:00Z,news.google.com/articles/CBMiZ2h0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9ndW5kZW0va3VjdWtjZWttZWNlZGUtY29rZW4tYmluYXlsYS1pbGdpbGktMi1raXNpLWdvemFsdGluZGEtODYxMzg0Lmh0bWzSAQA?hl=tr&gl=TR&ceid=TR%3Atr
5,"LGS ZOR MUYDU KOLAY MIYDI, NASILDI 2024? Bu yılki LGS 2024 sınav yorumları geldi! İşte Liselere Geçiş Sistemi merkezi sınavı LGS öğrenci yorumları...",Hürriyet,Türkiye,2024-06-02T15:06:46Z,news.google.com/articles/CBMicWh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9iaWxnaS9nYWxlcmktbGdzLXNpbmF2LXlvcnVtbGFyaS0yMDI0LWxncy0yMDI0LWtvbGF5LW1peWRpLXpvci1tdXlkdS1uYXNpbGRpLTQyNDcxMzYz0gEA?hl=tr&gl=TR&ceid=TR%3Atr
6,LGS soruları ve cevap anahtarı 2024 sorgula (meb.gov.tr) | LGS soruları ve cevapları yayınlandı mı? MEB LGS temel soru kitapçığı görüntüleme ekranı,NTV Spor,Türkiye,2024-06-02T10:39:35Z,news.google.com/articles/CBMixgFodHRwczovL3d3dy5udHZzcG9yLm5ldC9ndW5kZW0vbGdzLXNvcnVsYXJpLXZlLWNldmFwLWFuYWh0YXJpLTIwMjQtc29yZ3VsYS1tZWItZ292LXRyLWxncy1zb3J1bGFyaS12ZS1jZXZhcGxhcmkteWF5aW5sYW5kaS1taS1tZWItbGdzLXRlbWVsLXNvcnUta2l0YXBjaWdpLWdvcnVudHVsZW1lLWVrcmFuaS02NjVjMGEwYmY1NTZiZTAwNGY1MTgzNzPSAcoBaHR0cHM6Ly93d3cubnR2c3Bvci5uZXQvYW1wL2d1bmRlbS9sZ3Mtc29ydWxhcmktdmUtY2V2YXAtYW5haHRhcmktMjAyNC1zb3JndWxhLW1lYi1nb3YtdHItbGdzLXNvcnVsYXJpLXZlLWNldmFwbGFyaS15YXlpbmxhbmRpLW1pLW1lYi1sZ3MtdGVtZWwtc29ydS1raXRhcGNpZ2ktZ29ydW50dWxlbWUtZWtyYW5pLTY2NWMwYTBiZjU1NmJlMDA0ZjUxODM3Mw?hl=tr&gl=TR&ceid=TR%3Atr
7,BEKLENEN AÇIKLAMA GELDİ! LGS SINAV SORU VE CEVAPLARI AÇIKLANDI! Sözel-Sayısal LGS soru kitapçığı ve cevap görüntüleme ekranı...,Milliyet,Türkiye,2024-06-02T13:18:16Z,news.google.com/articles/CBMixwFodHRwczovL3d3dy5taWxsaXlldC5jb20udHIvZ2FsZXJpL2xncy1zb25hLWVyZGktbWViLWxncy1zb3J1LXZlLWNldmFwbGFyaS1hY2lrbGFuZGktbWktbGdzLTIwMjQtc296ZWwtc2F5aXNhbC1zb3J1LWtpdGFwY2lrbGFyaS12ZS1jZXZhcC1hbmFodGFybGFyaS15YXlpbWxhbmRpLW1pLW1lYi1nb3YtdHItc29yZ3VsYW1hLWVrcmFuaS03MTM2MDgy0gHLAWh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9hbXAvZ2FsZXJpL2xncy1zb25hLWVyZGktbWViLWxncy1zb3J1LXZlLWNldmFwbGFyaS1hY2lrbGFuZGktbWktbGdzLTIwMjQtc296ZWwtc2F5aXNhbC1zb3J1LWtpdGFwY2lrbGFyaS12ZS1jZXZhcC1hbmFodGFybGFyaS15YXlpbWxhbmRpLW1pLW1lYi1nb3YtdHItc29yZ3VsYW1hLWVrcmFuaS03MTM2MDgy?hl=tr&gl=TR&ceid=TR%3Atr
8,LGS merkezi sınavı sona erdi - Son Dakika Haberleri,TRT Haber,Türkiye,2024-06-02T09:53:51Z,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9oYWJlci9ndW5kZW0vbGdzLW1lcmtlemktc2luYXZpLXNvbmEtZXJkaS04NjEzMjIuaHRtbNIBAA?hl=tr&gl=TR&ceid=TR%3Atr
9,"YSK Başkanı Ahmet Yener: Şu an için herhangi bir olumsuz durum yok, her şey yolunda gidiyor",Cumhuriyet,Türkiye,2024-06-02T13:04:50Z,news.google.com/articles/CBMic2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUveXNrLWJhc2thbmktYWhtZXQteWVuZXItc3UtYW4taWNpbi1oZXJoYW5naS1iaXItb2x1bXN1ei1kdXJ1bS15b2staGVyLTIyMTMyMDTSAQA?hl=tr&gl=TR&ceid=TR%3Atr
10,"3 ilçe ve 4 beldede yeniden seçim: Oy verme işlemi tamamlandı, oylar sayılıyor",NTV,Türkiye,2024-06-02T06:13:00Z,news.google.com/articles/CBMiiQFodHRwczovL3d3dy5udHYuY29tLnRyL2dhbGVyaS90dXJraXllLzMtaWxjZS12ZS00LWJlbGRlZGUteWVuaWRlbi1zZWNpbS1veS12ZXJtZS1pc2xlbWktdGFtYW1sYW5kaS1veWxhci1zYXlpbGl5b3IsRXRnR0doc1FQVUdfeG9zeUwyeTNYd9IBjQFodHRwczovL3d3dy5udHYuY29tLnRyL2FtcC9nYWxlcmkvdHVya2l5ZS8zLWlsY2UtdmUtNC1iZWxkZWRlLXllbmlkZW4tc2VjaW0tb3ktdmVybWUtaXNsZW1pLXRhbWFtbGFuZGktb3lsYXItc2F5aWxpeW9yLEV0Z0dHaHNRUFVHX3hvc3lMMnkzWHc?hl=tr&gl=TR&ceid=TR%3Atr
