ID,Headline,Source,Category,Time,URL
1,Nvidia hisseleri durdurulamıyor,Bloomberg HT,İş,2024-05-29T05:29:19Z,news.google.com/articles/CBMiQ2h0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9udmlkaWEtaGlzc2VsZXJpLWR1cmR1cnVsYW1peW9yLTIzNTM3ODDSAUdodHRwczovL3d3dy5ibG9vbWJlcmdodC5jb20vbnZpZGlhLWhpc3NlbGVyaS1kdXJkdXJ1bGFtaXlvci0yMzUzNzgwLWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
2,Nasdaq ilk kez 17.000'in üzerinde kapandı Yazar Foreks,Investing.com Türkiye,İş,2024-05-29T06:33:06Z,news.google.com/articles/CBMiXmh0dHBzOi8vdHIuaW52ZXN0aW5nLmNvbS9uZXdzL3N0b2NrLW1hcmtldC1uZXdzL25hc2RhcS1pbGsta2V6LTE3MDAwaW4tdXplcmluZGUta2FwYW5kLTI4NzExOTHSAQA?hl=tr&gl=TR&ceid=TR%3Atr
3,Nvidia'nın etkisi ile Nasdaq tarihi zirvesinde,bigpara,İş,2024-05-28T15:17:00Z,news.google.com/articles/CBMic2h0dHBzOi8vYmlncGFyYS5odXJyaXlldC5jb20udHIvaGFiZXJsZXIvZWtvbm9taS1oYWJlcmxlcmkvbnZpZGlhbmluLWV0a2lzaS1pbGUtbmFzZGFxLXRhcmloaS16aXJ2ZXNpbmRlX0lEMTQ4MDc4OC_SAWRodHRwczovL21iaWdwYXJhLmh1cnJpeWV0LmNvbS50ci9hbXAvaGFiZXJsZXIvbnZpZGlhbmluLWV0a2lzaS1pbGUtbmFzZGFxLXRhcmloaS16aXJ2ZXNpbmRlLzE0ODA3ODgv?hl=tr&gl=TR&ceid=TR%3Atr
4,Nasdaq ilk kez 17.000'in üzerinde kapandı,Dünya Gazetesi,İş,2024-05-29T04:14:00Z,news.google.com/articles/CBMiYWh0dHBzOi8vd3d3LmR1bnlhLmNvbS9maW5hbnMvaGFiZXJsZXIvYm9yc2EvbmFzZGFxLWlsay1rZXotMTcwMDBpbi11emVyaW5kZS1rYXBhbmRpLWhhYmVyaS03Mjk0MjDSAQA?hl=tr&gl=TR&ceid=TR%3Atr
5,"Bayram öncesi piyasalar hazırlık yapıyor! Altın fiyatları düşerken yeni tahmin geldi: Cuma gününe dikkat, fiyatları etkileyecek",Mynet,İş,2024-05-29T04:50:25Z,news.google.com/articles/CBMinAFodHRwczovL2ZpbmFucy5teW5ldC5jb20vaGFiZXIvZGV0YXkvYWx0aW4vYmF5cmFtLW9uY2VzaS1waXlhc2FsYXItaGF6aXJsaWsteWFwaXlvci1hbHRpbi1maXlhdGxhcmktZHVzZXJrZW4teWVuaS10YWhtaW4tZ2VsZGktYmVuLXllbWVkaW0tYWwtc2VuLXllLzQ4MzQyOS_SAZEBaHR0cHM6Ly93d3cubXluZXQuY29tL2FtcC9iYXlyYW0tb25jZXNpLXBpeWFzYWxhci1oYXppcmxpay15YXBpeW9yLWFsdGluLWZpeWF0bGFyaS1kdXNlcmtlbi15ZW5pLXRhaG1pbi1nZWxkaS1iZW4teWVtZWRpbS1hbC1zZW4teWUtZmluYW5zLTQ4MzQyOQ?hl=tr&gl=TR&ceid=TR%3Atr
6,Gram altında son durum ne? 29 Mayıs 2024 Çarşamba altın fiyatları...,Bloomberg HT,İş,2024-05-29T07:00:01Z,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9ncmFtLWFsdGluZGEtc29uLWR1cnVtLW5lLTI5LW1heWlzLTIwMjQtY2Fyc2FtYmEtYWx0aW4tZml5YXRsYXJpLXBraDEtMjM1Mzc4N9IBbWh0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9ncmFtLWFsdGluZGEtc29uLWR1cnVtLW5lLTI5LW1heWlzLTIwMjQtY2Fyc2FtYmEtYWx0aW4tZml5YXRsYXJpLXBraDEtMjM1Mzc4Ny1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
7,"İslam Memiş: Altın borcu olanlar, düğün yapacaklar dikkat!",Sanayi Gazetesi,İş,2024-05-29T06:24:19Z,news.google.com/articles/CBMiVmh0dHBzOi8vc2FuYXlpZ2F6ZXRlc2kuY29tLnRyL2lzbGFtLW1lbWlzLWFsdGluLWJvcmN1LW9sYW5sYXItZHVndW4teWFwYWNha2xhci1kaWtrYXQv0gEA?hl=tr&gl=TR&ceid=TR%3Atr
8,"Son haftalarda altının performansı, platin ve gümüşün gerisinde kaldı Yazar Investing.com",Investing.com Türkiye,İş,2024-05-29T06:53:18Z,news.google.com/articles/CBMid2h0dHBzOi8vdHIuaW52ZXN0aW5nLmNvbS9uZXdzL2NvbW1vZGl0aWVzLW5ld3Mvc29uLWhhZnRhbGFyZGEtYWx0bm4tcGVyZm9ybWFucy1wbGF0aW4tdmUtZ3VtdXN1bi1nZXJpc2luZGUta2FsZC0yODcxMTAx0gEA?hl=tr&gl=TR&ceid=TR%3Atr
9,Küresel piyasalarda tahvil getirileri yükseliyor,Bloomberg HT,İş,2024-05-29T05:50:41Z,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9rdXJlc2VsLXBpeWFzYWxhcmRhLXRhaHZpbC1nZXRpcmlsZXJpLXl1a3NlbGl5b3ItMjM1Mzc4MtIBWGh0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9rdXJlc2VsLXBpeWFzYWxhcmRhLXRhaHZpbC1nZXRpcmlsZXJpLXl1a3NlbGl5b3ItMjM1Mzc4Mi1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
10,Asya hisseleri AMB'nin faiz indirimi spekülasyonları arasında ılımlı bir yükseliş kaydetti Yazar Investing.com,Investing.com Türkiye,İş,2024-05-28T20:16:41Z,news.google.com/articles/CBMijAFodHRwczovL3RyLmludmVzdGluZy5jb20vbmV3cy9lY29ub215LW5ld3MvYXN5YS1oaXNzZWxlcmktYW1ibmluLWZhaXotaW5kaXJpbWktc3Bla3VsYXN5b25sYXItYXJhc25kYS1sbWwtYmlyLXl1a3NlbGlzLWtheWRldHRpLTkzQ0gtMjg3MDY3OdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
