ID,Headline,Source,Category,Time,URL
1,iPhone 16 Pro ve Pro Max daha büyük pillere sahip olacak,DonanımHaber,Bilim ve Teknoloji,2024-05-29T14:00:00Z,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vaXBob25lLTE2LXByby12ZS1wcm8tbWF4LWRhaGEtYnV5dWstcGlsbGVyZS1zYWhpcC1vbGFjYWstLTE3NzgyN9IBYWh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vYW1wL2lwaG9uZS0xNi1wcm8tdmUtcHJvLW1heC1kYWhhLWJ1eXVrLXBpbGxlcmUtc2FoaXAtb2xhY2FrLS0xNzc4Mjc?hl=tr&gl=TR&ceid=TR%3Atr
2,iPhone 16 Pro ve iPhone 15 Pro yan yana: İşte tasarım farkları,DonanımHaber,Bilim ve Teknoloji,2024-05-27T08:05:00Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vaXBob25lLTE2LXByby12ZS1pcGhvbmUtMTUtcHJvLXlhbi15YW5hLWlzdGUtdGFzYXJpbS1mYXJrbGFyaS0tMTc3NzI40gFmaHR0cHM6Ly93d3cuZG9uYW5pbWhhYmVyLmNvbS9hbXAvaXBob25lLTE2LXByby12ZS1pcGhvbmUtMTUtcHJvLXlhbi15YW5hLWlzdGUtdGFzYXJpbS1mYXJrbGFyaS0tMTc3NzI4?hl=tr&gl=TR&ceid=TR%3Atr
3,iPhone 16 hakkında yeni bilgiler ortaya çıktı: Face ID ekran altına taşınıyor,Ensonhaber,Bilim ve Teknoloji,2024-05-29T09:29:30Z,news.google.com/articles/CBMicWh0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL3Rla25vbG9qaS9pcGhvbmUtMTYtaGFra2luZGEteWVuaS1iaWxnaWxlci1vcnRheWEtY2lrdGktZmFjZS1pZC1la3Jhbi1hbHRpbmEtdGFzaW5peW9y0gF1aHR0cHM6Ly93d3cuZW5zb25oYWJlci5jb20vYW1wL3Rla25vbG9qaS9pcGhvbmUtMTYtaGFra2luZGEteWVuaS1iaWxnaWxlci1vcnRheWEtY2lrdGktZmFjZS1pZC1la3Jhbi1hbHRpbmEtdGFzaW5peW9y?hl=tr&gl=TR&ceid=TR%3Atr
4,Apple iPhone 17 Ultra modelini piyasaya sürebilir - Bilim Teknoloji Haberleri,CNN TÜRK,Bilim ve Teknoloji,2024-05-27T07:17:55Z,news.google.com/articles/CBMiW2h0dHBzOi8vd3d3LmNubnR1cmsuY29tL3Rla25vbG9qaS9hcHBsZS1pcGhvbmUtMTctdWx0cmEtbW9kZWxpbmktcGl5YXNheWEtc3VyZWJpbGlyLTIxMTgwMTLSAQA?hl=tr&gl=TR&ceid=TR%3Atr
5,Game Pass’ten ucuz: 12 aylık Playstation Plus fiyatında dev indirim,DonanımHaber,Bilim ve Teknoloji,2024-05-29T13:36:00Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vZ2FtZS1wYXNzLXRlbi11Y3V6LTEyLWF5bGlrLXBsYXlzdGF0aW9uLXBsdXMtZml5YXRpbmRhLWluZGlyaW0tLTE3NzgyNNIBZ2h0dHBzOi8vd3d3LmRvbmFuaW1oYWJlci5jb20vYW1wL2dhbWUtcGFzcy10ZW4tdWN1ei0xMi1heWxpay1wbGF5c3RhdGlvbi1wbHVzLWZpeWF0aW5kYS1pbmRpcmltLS0xNzc4MjQ?hl=tr&gl=TR&ceid=TR%3Atr
6,"Sony, çok sayıda PlayStation 5 oyununa güzel indirimler yaptı",LOG,Bilim ve Teknoloji,2024-05-29T12:31:51Z,news.google.com/articles/CBMiVGh0dHBzOi8vd3d3LmxvZy5jb20udHIvc29ueS1jb2stc2F5aWRhLXBsYXlzdGF0aW9uLTUtb3l1bnVuYS1ndXplbC1pbmRpcmltbGVyLXlhcHRpL9IByAFodHRwczovL3d3dy5sb2cuY29tLnRyL3NvbnktY29rLXNheWlkYS1wbGF5c3RhdGlvbi01LW95dW51bmEtZ3V6ZWwtaW5kaXJpbWxlci15YXB0aS9hbXAvP2ZiY2xpZD1Jd1pYaDBiZ05oWlcwQ01URUFBUjJwUlNiZXVoNVE0R1JHZThST1hrYjBUZThpUUI2cGNiWDVhd3UxV2xzS0p6MVhOWE9IbWJjZGJzc19hZW1fWm1GclpXUjFiVzE1TVRaaWVYUmxjdw?hl=tr&gl=TR&ceid=TR%3Atr
7,PlayStation'ın %90'a Varan Dev İndirimleri Başladı: Fırsatı Kaçırmayın!,Tamindir,Bilim ve Teknoloji,2024-05-29T11:34:20Z,news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LnRhbWluZGlyLmNvbS9oYWJlci9kYXlzLW9mLXBsYXktaW5kaXJpbWxlcmlfODgzNTMv0gFCaHR0cHM6Ly93d3cudGFtaW5kaXIuY29tL2hhYmVyL2RheXMtb2YtcGxheS1pbmRpcmltbGVyaV84ODM1My9hbXAv?hl=tr&gl=TR&ceid=TR%3Atr
8,PlayStation Plus Abonelik Fiyatlarına Bomba İndirim Geldi! (Game Pass'ten Daha Ucuz),webtekno,Bilim ve Teknoloji,2024-05-29T09:35:26Z,news.google.com/articles/CBMiPmh0dHBzOi8vd3d3LndlYnRla25vLmNvbS9wbGF5c3RhdGlvbi1wbHVzLWluZGlyaW0taDE0NDYwNS5odG1s0gEpaHR0cHM6Ly93d3cud2VidGVrbm8uY29tL2hhYmVyL2FtcC8xNDQ2MDU?hl=tr&gl=TR&ceid=TR%3Atr
9,İndirim Çin'de iPhone satışlarını patlattı,Bloomberg HT,Bilim ve Teknoloji,2024-05-28T11:49:39Z,news.google.com/articles/CBMiTmh0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9pbmRpcmltLWNpbi1kZS1pcGhvbmUtc2F0aXNsYXJpbmktcGF0bGF0dGktMjM1Mzc0NtIBUmh0dHBzOi8vd3d3LmJsb29tYmVyZ2h0LmNvbS9pbmRpcmltLWNpbi1kZS1pcGhvbmUtc2F0aXNsYXJpbmktcGF0bGF0dGktMjM1Mzc0Ni1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
10,"Jefferies, Apple'ın Çin'de akıllı telefon fiyatlandırması konusunda rekabete başladığını söylüyor Yazar Investing.com",Investing.com Türkiye,Bilim ve Teknoloji,2024-05-28T10:47:26Z,news.google.com/articles/CBMilAFodHRwczovL3RyLmludmVzdGluZy5jb20vbmV3cy9zdG9jay1tYXJrZXQtbmV3cy9qZWZmZXJpZXMtYXBwbGVuLWNpbmRlLWFrbGwtdGVsZWZvbi1maXlhdGxhbmRybWFzLWtvbnVzdW5kYS1yZWthYmV0ZS1iYXNsYWRnbi1zb3lsdXlvci00MzJTSS0yODY5MzY10gEA?hl=tr&gl=TR&ceid=TR%3Atr
