ID,Headline,Source,Category,Time,URL
1,Galatasaray'da 4 koldan transfer harekatı başladı! O isimler ortaya çıktı,Aspor,Spor,2024-05-30T03:40:42Z,news.google.com/articles/CBMid2h0dHBzOi8vd3d3LmFzcG9yLmNvbS50ci9nYWxhdGFzYXJheS8yMDI0LzA1LzMwL2dhbGF0YXNhcmF5ZGEtNC1rb2xkYW4tdHJhbnNmZXItaGFyZWthdGktYmFzbGFkaS1vLWlzaW1sZXItb3J0YXlhLWNpa3Rp0gF7aHR0cHM6Ly93d3cuYXNwb3IuY29tLnRyL2dhbGF0YXNhcmF5LzIwMjQvMDUvMzAvZ2FsYXRhc2FyYXlkYS00LWtvbGRhbi10cmFuc2Zlci1oYXJla2F0aS1iYXNsYWRpLW8taXNpbWxlci1vcnRheWEtY2lrdGkvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
2,Galatasaray'a cazip teklif: 4 yıldız için ayrılık ihtimali,NTV Spor,Spor,2024-05-30T05:57:20Z,news.google.com/articles/CBMidmh0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2ZvdG8tZ2FsZXJpL2dhbGF0YXNhcmF5LWEtY2F6aXAtdGVrbGlmLTQteWlsZGl6LWljaW4tYXlyaWxpay1paHRpbWFsaS02NjU4MTU0MGY1NTZiZTAwNGY1MTU1NzPSAXpodHRwczovL3d3dy5udHZzcG9yLm5ldC9hbXAvZm90by1nYWxlcmkvZ2FsYXRhc2FyYXktYS1jYXppcC10ZWtsaWYtNC15aWxkaXotaWNpbi1heXJpbGlrLWlodGltYWxpLTY2NTgxNTQwZjU1NmJlMDA0ZjUxNTU3Mw?hl=tr&gl=TR&ceid=TR%3Atr
3,TRANSFER HABERİ: Süper Lig'e damga vurmuştu! Galatasaray yıldız ismi kapıyor…,Fotomaç,Spor,2024-05-30T07:44:41Z,news.google.com/articles/CBMie2h0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL2dhbGF0YXNhcmF5LzIwMjQvMDUvMzAvdHJhbnNmZXItaGFiZXJpLXN1cGVyLWxpZ2UtZGFtZ2EtdnVybXVzdHUtZ2FsYXRhc2FyYXkteWlsZGl6LWlzbWkta2FwaXlvctIBf2h0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL2dhbGF0YXNhcmF5LzIwMjQvMDUvMzAvdHJhbnNmZXItaGFiZXJpLXN1cGVyLWxpZ2UtZGFtZ2EtdnVybXVzdHUtZ2FsYXRhc2FyYXkteWlsZGl6LWlzbWkta2FwaXlvci9hbXA?hl=tr&gl=TR&ceid=TR%3Atr
4,"SON DAKİKA TRANSFER HABERİ: Galatasaray, İlkay Gündoğan transfer için görüşmelere başlıyor! Dursun Özbek'ten flaş hamle",Skorer,Spor,2024-05-29T15:34:00Z,news.google.com/articles/CBMidWh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9za29yZXIvc29uLWRha2lrYS1nYWxhdGFzYXJheS1pbGtheS1ndW5kb2dhbi1pY2luLXRyYW5zZmVyLWdvcnVzbWVsZXJpbmUtYmFzbGl5b3ItNzEzNDM3MdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
5,"Fenerbahçe başkanlık seçimi 2024 ne zaman, saat kaçta? Fenerbahçe başkan adayları ve yönetim kurulu listeleri",NTV Spor,Spor,2024-05-30T06:39:00Z,news.google.com/articles/CBMiowFodHRwczovL3d3dy5udHZzcG9yLm5ldC9mdXRib2wvZmVuZXJiYWhjZS1iYXNrYW5saWstc2VjaW1pLTIwMjQtbmUtemFtYW4tc2FhdC1rYWN0YS1mZW5lcmJhaGNlLWJhc2thbi1hZGF5bGFyaS12ZS15b25ldGltLWt1cnVsdS1saXN0ZWxlcmktNjY1M2FjZGU4Y2MzMDMwMDRmZWMxYzk40gGnAWh0dHBzOi8vd3d3Lm50dnNwb3IubmV0L2FtcC9mdXRib2wvZmVuZXJiYWhjZS1iYXNrYW5saWstc2VjaW1pLTIwMjQtbmUtemFtYW4tc2FhdC1rYWN0YS1mZW5lcmJhaGNlLWJhc2thbi1hZGF5bGFyaS12ZS15b25ldGltLWt1cnVsdS1saXN0ZWxlcmktNjY1M2FjZGU4Y2MzMDMwMDRmZWMxYzk4?hl=tr&gl=TR&ceid=TR%3Atr
6,Fenerbahçe'de seçim sonrası büyük kriz! İsmail Kartal… FB spor haberi,Aspor,Spor,2024-05-30T03:40:42Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3LmFzcG9yLmNvbS50ci9mZW5lcmJhaGNlLzIwMjQvMDUvMzAvZmVuZXJiYWhjZWRlLXNlY2ltLXNvbnJhc2ktYnV5dWsta3Jpei1pc21haWwta2FydGFs0gFmaHR0cHM6Ly93d3cuYXNwb3IuY29tLnRyL2ZlbmVyYmFoY2UvMjAyNC8wNS8zMC9mZW5lcmJhaGNlZGUtc2VjaW0tc29ucmFzaS1idXl1ay1rcml6LWlzbWFpbC1rYXJ0YWwvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
7,"Aziz Yıldırım, Jose Mourinho için tarih verdi - Son Dakika Spor Haberleri",NTV,Spor,2024-05-29T17:27:00Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3Lm50di5jb20udHIvc3BvcnNrb3IvYXppei15aWxkaXJpbS1qb3NlLW1vdXJpbmhvLWljaW4tdGFyaWgtdmVyZGksQ3BUaUk3RXpya1NFRVRCNEJ3aFNqZ9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
8,Fenerbahçe'de Aziz Yıldırım'dan gövde gösterisi hazırlığı! Listeye bir yıldız daha - Fenerbahçe (FB) Haberleri Spor,Fanatik,Spor,2024-05-30T03:59:00Z,news.google.com/articles/CBMiiwFodHRwczovL3d3dy5mYW5hdGlrLmNvbS50ci9mZW5lcmJhaGNlL2dhbGVyaS1mZW5lcmJhaGNlZGUtYXppei15aWxkaXJpbWRhbi1nb3ZkZS1nb3N0ZXJpc2ktaGF6aXJsaWdpLWxpc3RleWUtYmlyLWR1bnlhLXlpbGRpemktZGFoYS0yNTQ4OTc10gEA?hl=tr&gl=TR&ceid=TR%3Atr
9,TRANSFER HABERİ: Sacha Boey bombası! Galatasaray'a dönüyor,Fotomaç,Spor,2024-05-29T15:53:34Z,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3LmZvdG9tYWMuY29tLnRyL2dhbGF0YXNhcmF5LzIwMjQvMDUvMjkvdHJhbnNmZXItaGFiZXJpLXNhY2hhLWJvZXktYm9tYmFzaS1nYWxhdGFzYXJheWEtZG9udXlvctIBAA?hl=tr&gl=TR&ceid=TR%3Atr
10,TRANSFER HABERİ: Sacha Boey Galatasaray'a dönüyor! Resmi açıklama… GS spor haberi,Aspor,Spor,2024-05-29T14:51:23Z,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LmFzcG9yLmNvbS50ci9nYWxhdGFzYXJheS8yMDI0LzA1LzI5L3RyYW5zZmVyLWhhYmVyaS1zYWNoYS1ib2V5LWdhbGF0YXNhcmF5YS1kb251eW9yLXJlc21pLWFjaWtsYW1h0gFyaHR0cHM6Ly93d3cuYXNwb3IuY29tLnRyL2dhbGF0YXNhcmF5LzIwMjQvMDUvMjkvdHJhbnNmZXItaGFiZXJpLXNhY2hhLWJvZXktZ2FsYXRhc2FyYXlhLWRvbnV5b3ItcmVzbWktYWNpa2xhbWEvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
11,"Transferde Sacha Boey sürprizi! Anlaşma sağlandı, Süper Lig'e dönüyor",Ajansspor,Spor,2024-05-30T05:57:28Z,news.google.com/articles/CBMiZWh0dHBzOi8vYWphbnNzcG9yLmNvbS9oYWJlci90cmFuc2ZlcmRlLXNhY2hhLWJvZXktc3VycHJpemktYW5sYXNtYS1zYWdsYW5kaS1zdXBlci1saWdlLWRvbnV5b3ItNjY1ODU50gFpaHR0cHM6Ly9hamFuc3Nwb3IuY29tL2FtcC9oYWJlci90cmFuc2ZlcmRlLXNhY2hhLWJvZXktc3VycHJpemktYW5sYXNtYS1zYWdsYW5kaS1zdXBlci1saWdlLWRvbnV5b3ItNjY1ODU5?hl=tr&gl=TR&ceid=TR%3Atr
12,Son dakika Galatasaray haberi: Sacha Boey geri dönüyor! Anlaşma sağlandı...,Sabah,Spor,2024-05-30T04:34:00Z,news.google.com/articles/CBMibmh0dHBzOi8vd3d3LnNhYmFoLmNvbS50ci9nYWxlcmkvc3Bvci9zb24tZGFraWthLWdhbGF0YXNhcmF5LWhhYmVyaS12ZS1zYWNoYS1ib2V5LWdlcmktZG9udXlvci1hbmxhc21hLXNhZ2xhbmRp0gFwaHR0cHM6Ly9tLnNhYmFoLmNvbS50ci9nYWxlcmkvc3Bvci9zb24tZGFraWthLWdhbGF0YXNhcmF5LWhhYmVyaS12ZS1zYWNoYS1ib2V5LWdlcmktZG9udXlvci1hbmxhc21hLXNhZ2xhbmRpL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
13,"Süper Lig'de yayın gelirlerinden hangi takım, ne kadar kazandı? Premier Lig sonuncusu ile Türkiye şampiyonu arasındaki fark...",Hürriyet,Spor,2024-05-30T06:58:24Z,news.google.com/articles/CBMipwFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvc3BvcmFyZW5hL3N1cGVyLWxpZ2RlLXlheWluLWdlbGlybGVyaW5kZW4taGFuZ2ktdGFraW0tbmUta2FkYXIta2F6YW5kaS1wcmVtaWVyLWxpZy1zb251bmN1c3UtaWxlLXR1cmtpeWUtc2FtcGl5b251LWFyYXNpbmRha2ktZmFyay00MjQ2OTYzNtIBAA?hl=tr&gl=TR&ceid=TR%3Atr
14,"Dursun Özbek'ten ""5. yıldız"" sözleri",TrtSpor,Spor,2024-05-29T11:52:00Z,news.google.com/articles/CBMiR2h0dHBzOi8vd3d3LnRydHNwb3IuY29tLnRyL20vP209bmV3c0RldGFpbCZuZXdzX2lkPTI5MzYxMyZjYXRlZ29yeV9pZD0x0gFYaHR0cHM6Ly93d3cudHJ0c3Bvci5jb20udHIvaGFiZXIvZnV0Ym9sL2R1cnN1bi1vemJla3Rlbi01LXlpbGRpei1zb3psZXJpLTI5MzYxMy5odG1sL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
