ID,Headline,Source,Category,Time,URL
1,İstanbul'da sokak ortasında vahşet: Öldürüp kendi kafasına sıktı,Milliyet,Yerel,2024-05-30T06:44:00Z,news.google.com/articles/CBMiaWh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vaXN0YW5idWxkYS1zb2thay1vcnRhc2luZGEtdmFoc2V0LW9sZHVydXAta2VuZGkta2FmYXNpbmEtc2lrdGktNzEzNDU1M9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
2,"İmamoğlu, Fethin 571'inci Yıl Dönümünde Konuştu",Halk TV,Yerel,2024-05-29T21:53:00Z,news.google.com/articles/CBMiUmh0dHBzOi8vaGFsa3R2LmNvbS50ci9ndW5kZW0vaW1hbW9nbHUtZmV0aGluLTU3MWluY2kteWlsLWRvbnVtdW5kZS1rb251c3R1LTgzODY2M2jSAV5odHRwczovL2hhbGt0di5jb20udHIvc2VydmljZS9hbXAvZ3VuZGVtL2ltYW1vZ2x1LWZldGhpbi01NzFpbmNpLXlpbC1kb251bXVuZGUta29udXN0dS04Mzg2NjNo?hl=tr&gl=TR&ceid=TR%3Atr
3,"İstanbul'da büyük su kesintisi: O ilçeler saatlerce susuz kalacak! İşte, 29 Mayıs İSKİ su kesinti listesi",Ensonhaber,Yerel,2024-05-29T08:35:15Z,news.google.com/articles/CBMie2h0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2JpbGdpL2lzdGFuYnVsZGEtYnV5dWstc3Uta2VzaW50aXNpLW8taWxjZWxlci1zYWF0bGVyY2Utc3VzdXota2FsYWNhay1pc3RlLTI5LW1heWlzLWlza2ktc3Uta2VzadIBf2h0dHBzOi8vd3d3LmVuc29uaGFiZXIuY29tL2FtcC9iaWxnaS9pc3RhbmJ1bGRhLWJ1eXVrLXN1LWtlc2ludGlzaS1vLWlsY2VsZXItc2FhdGxlcmNlLXN1c3V6LWthbGFjYWstaXN0ZS0yOS1tYXlpcy1pc2tpLXN1LWtlc2k?hl=tr&gl=TR&ceid=TR%3Atr
4,Yılın en büyük e-ticaret fuarı İstanbul'da: WORLDEF ISTANBUL için geri sayım başladı | Türkiye Ekonomisi Haberleri,Yeni Şafak,Yerel,2024-05-30T08:14:05Z,news.google.com/articles/CBMifGh0dHBzOi8vd3d3LnllbmlzYWZhay5jb20vZWtvbm9taS95aWxpbi1lbi1idXl1ay1lLXRpY2FyZXQtZnVhcmktaXN0YW5idWxkYS13b3JsZGVmLWlzdGFuYnVsLWljaW4tZ2VyaS1zYXlpbS1iYXNsYWRpLTQ2MjQ0NznSAQA?hl=tr&gl=TR&ceid=TR%3Atr
5,30 Mayıs İstanbul elektrik kesintisi! ELEKTRİKLER NE ZAMAN GELECEK? İstanbul'da elektrik kesintisi!,Haberler,Yerel,2024-05-29T21:27:53Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmhhYmVybGVyLmNvbS9oYWJlcmxlci8zMC1tYXlpcy1pc3RhbmJ1bC1lbGVrdHJpay1rZXNpbnRpc2ktZWxla3RyaWtsZXItMTczNzczMDAtaGFiZXJpL9IBXmh0dHBzOi8vd3d3LmhhYmVybGVyLmNvbS9hbXAvMzAtbWF5aXMtaXN0YW5idWwtZWxla3RyaWsta2VzaW50aXNpLWVsZWt0cmlrbGVyLTE3Mzc3MzAwLWhhYmVyaS8?hl=tr&gl=TR&ceid=TR%3Atr
6,İstanbul metro yakınlarında çıplak kadın cesedi: Kimliği belli oldu!,Sabah,Yerel,2024-05-30T11:48:00Z,news.google.com/articles/CBMiXWh0dHBzOi8vd3d3LnNhYmFoLmNvbS50ci9nYWxlcmkveWFzYW0vaXN0YW5idWwtbWV0cm9kYS1jaXBsYWsta2FkaW4tY2VzZWRpLWtpbWxpZ2ktYmVsbGktb2xkddIBX2h0dHBzOi8vbS5zYWJhaC5jb20udHIvZ2FsZXJpL3lhc2FtL2lzdGFuYnVsLW1ldHJvZGEtY2lwbGFrLWthZGluLWNlc2VkaS1raW1saWdpLWJlbGxpLW9sZHUvYW1w?hl=tr&gl=TR&ceid=TR%3Atr
7,Zirve İstanbul’un,Takvim,Yerel,2024-05-30T04:01:54Z,news.google.com/articles/CBMiO2h0dHBzOi8vd3d3LnRha3ZpbS5jb20udHIveWFzYW0vMjAyNC8wNS8zMC96aXJ2ZS1pc3RhbmJ1bHVu0gE_aHR0cHM6Ly93d3cudGFrdmltLmNvbS50ci95YXNhbS8yMDI0LzA1LzMwL3ppcnZlLWlzdGFuYnVsdW4vYW1w?hl=tr&gl=TR&ceid=TR%3Atr
8,İstanbul’da batık tekne mezarlığı! Tekneler bakımsızlıktan çürüyor - AHaber Video İzle,Ahaber,Yerel,2024-05-30T11:30:56Z,news.google.com/articles/CBMicGh0dHBzOi8vd3d3LmFoYWJlci5jb20udHIvdmlkZW8veWFzYW0tdmlkZW9sYXJpL2lzdGFuYnVsZGEtYmF0aWstdGVrbmUtbWV6YXJsaWdpLXRla25lbGVyLWJha2ltc2l6bGlrdGFuLWN1cnV5b3LSAXRodHRwczovL3d3dy5haGFiZXIuY29tLnRyL3ZpZGVvL3lhc2FtLXZpZGVvbGFyaS9pc3RhbmJ1bGRhLWJhdGlrLXRla25lLW1lemFybGlnaS10ZWtuZWxlci1iYWtpbXNpemxpa3Rhbi1jdXJ1eW9yL2FtcA?hl=tr&gl=TR&ceid=TR%3Atr
9,"29-30 Mayıs hava bugün ve yarın nasıl olacak? HAVA DURUMU! İstanbul'da yarın hava nasıl olacak, yağış var mı?",Haberler,Yerel,2024-05-29T17:01:18Z,news.google.com/articles/CBMiX2h0dHBzOi8vd3d3LmhhYmVybGVyLmNvbS9oYWJlcmxlci8yOS0zMC1tYXlpcy1oYXZhLWJ1Z3VuLXZlLXlhcmluLW5hc2lsLW9sYWNhay0xNzM3Njc0MS1oYWJlcmkv0gFaaHR0cHM6Ly93d3cuaGFiZXJsZXIuY29tL2FtcC8yOS0zMC1tYXlpcy1oYXZhLWJ1Z3VuLXZlLXlhcmluLW5hc2lsLW9sYWNhay0xNzM3Njc0MS1oYWJlcmkv?hl=tr&gl=TR&ceid=TR%3Atr
10,Masal İstanbul Festivali Küçükçekmece’de başlıyor,Demirören Haber Ajansı,Yerel,2024-05-29T07:08:38Z,news.google.com/articles/CBMiXGh0dHBzOi8vd3d3LmRoYS5jb20udHIva3VsdHVyLXNhbmF0L21hc2FsLWlzdGFuYnVsLWZlc3RpdmFsaS1rdWN1a2Nla21lY2VkZS1iYXNsaXlvci0yNDUwOTM00gFfaHR0cDovL3d3dy5kaGEuY29tLnRyL2FtcC9rdWx0dXItc2FuYXQvbWFzYWwtaXN0YW5idWwtZmVzdGl2YWxpLWt1Y3VrY2VrbWVjZWRlLWJhc2xpeW9yLTI0NTA5MzQ?hl=tr&gl=TR&ceid=TR%3Atr
