ID,Headline,Source,Category,Time,URL
1,Savaşın gidişatını değiştirebilecek hamle! Biden'dan sonra Almanya da yeşil ışık yaktı,Hürriyet,Dünya,2024-05-31T05:48:00Z,news.google.com/articles/CBMiaGh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9kdW55YS9iaWRlbmRhbi1vbmF5LWNpa3RpLXNhdmFzaW4tZ2lkaXNhdGluaS1kZWdpc3RpcmViaWxlY2VrLWhhbWxlLTQyNDcwNDc40gEA?hl=tr&gl=TR&ceid=TR%3Atr
2,Batı silahlarının Rus topraklarını vurma tartışması büyüyor,NTV,Dünya,2024-05-31T12:39:00Z,news.google.com/articles/CBMib2h0dHBzOi8vd3d3Lm50di5jb20udHIvZHVueWEvYmF0aS1zaWxhaGxhcmluaW4tcnVzLXRvcHJha2xhcmluaS12dXJtYS10YXJ0aXNtYXNpLWJ1eXV5b3IsSjhDZGZqcERpa2lwRC11bnRmUzZtZ9IBc2h0dHBzOi8vd3d3Lm50di5jb20udHIvYW1wL2R1bnlhL2JhdGktc2lsYWhsYXJpbmluLXJ1cy10b3ByYWtsYXJpbmktdnVybWEtdGFydGlzbWFzaS1idXl1eW9yLEo4Q2RmanBEaWtpcEQtdW50ZlM2bWc?hl=tr&gl=TR&ceid=TR%3Atr
3,Savaşta kritik gelişme: ABD'den 'Rusya'ya saldırıya' onay,Sözcü,Dünya,2024-05-31T05:30:00Z,news.google.com/articles/CBMiVmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9zYXZhc3RhLWtyaXRpay1nZWxpc21lLWFiZC1kZW4tcnVzeWEteWEtc2FsZGlyaXlhLW9uYXktcDUzMTg40gFaaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9zYXZhc3RhLWtyaXRpay1nZWxpc21lLWFiZC1kZW4tcnVzeWEteWEtc2FsZGlyaXlhLW9uYXktcDUzMTg4?hl=tr&gl=TR&ceid=TR%3Atr
4,NATO Genel Sekreteri: Ukrayna'nın Rusya'ya karşı silah kullanması meşru müdafaa hakkıdır,Son Dakika,Dünya,2024-05-31T13:17:14Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vZ3VuY2VsL2hhYmVyLW5hdG8tZ2VuZWwtc2VrcmV0ZXJpLXVrcmF5bmEtbmluLXJ1c3lhLXlhLWthcnNpLXNpLTE3MzgzNjk2L9IBYGh0dHBzOi8vd3d3LnNvbmRha2lrYS5jb20vYW1wL2hhYmVyLW5hdG8tZ2VuZWwtc2VrcmV0ZXJpLXVrcmF5bmEtbmluLXJ1c3lhLXlhLWthcnNpLXNpLTE3MzgzNjk2Lw?hl=tr&gl=TR&ceid=TR%3Atr
5,"ABD, YPG/PKK'nın yapacağı sözde yerel seçimleri değerlendirdi: Adil, serbest ve şeffaf seçim ortamı yok",Habertürk,Dünya,2024-05-30T20:47:00Z,news.google.com/articles/CBMihQFodHRwczovL3d3dy5oYWJlcnR1cmsuY29tL2FiZC15cGdwa2stbmluLXlhcGFjYWdpLXNvemRlLXllcmVsLXNlY2ltbGVyaS1kZWdlcmxlbmRpcmRpLWFkaWwtc2VyYmVzdC12ZS1zZWZmYWYtc2VjaW0tb3J0YW1pLXlvay0zNjkxMTMw0gGHAWh0dHBzOi8vbS5oYWJlcnR1cmsuY29tL2FiZC15cGdwa2stbmluLXlhcGFjYWdpLXNvemRlLXllcmVsLXNlY2ltbGVyaS1kZWdlcmxlbmRpcmRpLWFkaWwtc2VyYmVzdC12ZS1zZWZmYWYtc2VjaW0tb3J0YW1pLXlvay0zNjkxMTMwLWFtcA?hl=tr&gl=TR&ceid=TR%3Atr
6,ABD Dışişleri'nden Rojava seçimleri açıklaması!,Rudaw Media Network,Dünya,2024-05-31T07:48:55Z,news.google.com/articles/CBMiLWh0dHBzOi8vd3d3LnJ1ZGF3Lm5ldC90dXJraXNoL3dvcmxkLzMxMDUyMDI0MtIBAA?hl=tr&gl=TR&ceid=TR%3Atr
7,Tek satır yok! Suriye ve İran medyası YPG'li teröristlerin skandal planını görmedi,Milliyet,Dünya,2024-05-31T09:05:00Z,news.google.com/articles/CBMieGh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9kdW55YS90ZWstc2F0aXIteW9rLXN1cml5ZS12ZS1pcmFuLW1lZHlhc2kteXBnbGktdGVyb3Jpc3RsZXJpbi1hbGNhay1wbGFuaW5pLWdvcm1lZGktNzEzNTE5OdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
8,ABD'den terör örgütü PYD'ye şok: Tanımıyoruz,Sözcü,Dünya,2024-05-31T13:08:00Z,news.google.com/articles/CBMiS2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hYmQtZGVuLXRlcm9yLW9yZ3V0dS1weWQteWUtc29rLXRhbmltaXlvcnV6LXA1MzM1MNIBT2h0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hbXAvYWJkLWRlbi10ZXJvci1vcmd1dHUtcHlkLXllLXNvay10YW5pbWl5b3J1ei1wNTMzNTA?hl=tr&gl=TR&ceid=TR%3Atr
9,Alman siyasetçi sokak ortasında bıçaklandı,Sözcü,Dünya,2024-05-31T12:33:49Z,news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hbG1hbi1zaXlhc2V0Y2ktc29rYWstb3J0YXNpbmRhLWJpY2FrbGFuZGktcDUzMzM40gFOaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9hbG1hbi1zaXlhc2V0Y2ktc29rYWstb3J0YXNpbmRhLWJpY2FrbGFuZGktcDUzMzM4?hl=tr&gl=TR&ceid=TR%3Atr
10,Almanya'nın Mannheim kentinde bıçaklı saldırı: Çok sayıda yaralı,Euronews,Dünya,2024-05-31T12:07:25Z,news.google.com/articles/CBMiYWh0dHBzOi8vdHIuZXVyb25ld3MuY29tLzIwMjQvMDUvMzEvYWxtYW55YW5pbi1tYW5uaGVpbS1rZW50aW5kZS1iaWNha2xpLXNhbGRpcmktY29rLXNheWlkYS15YXJhbGnSAQA?hl=tr&gl=TR&ceid=TR%3Atr
