ID,Headline,Source,Category,Time,URL
1,"Gözaltına alınan Aşkım Kapışmak'tan ilk açıklama: Şirketin sahipleri kim, onu bile bilmiyordum",T24,Türkiye,2024-05-31T17:31:00Z,news.google.com/articles/CBMieWh0dHBzOi8vdDI0LmNvbS50ci9oYWJlci9nb3phbHRpbmRha2ktYXNraW0ta2FwaXNtYWstdGFuLWlsay1hY2lrbGFtYS1zaXJrZXRpbi1zYWhpcGxlcmkta2ltLW9udS1iaWxlLWJpbG1peW9yZHVtLDExNjc0OTDSAQA?hl=tr&gl=TR&ceid=TR%3Atr
2,1 milyar dolarlık vurgunda yeni iddia: Yazar Aşkım Kapışmak’a yapıya adam kazandırma suçlaması,NTV,Türkiye,2024-05-31T12:43:11Z,news.google.com/articles/CBMilwFodHRwczovL3d3dy5udHYuY29tLnRyL2dhbGVyaS90dXJraXllLzFtaWx5YXItZG9sYXJsaWstdnVyZ3VuZGEteWVuaS1pZGRpYS15YXphci1hc2tpbS1rYXBpc21ha2EteWFwaXlhLWFkYW1rYXphbmRpcm1hLXN1Y2xhbWFzaSxTYVdINlJhTWwweXZuSm1BS3lwY3Jn0gGbAWh0dHBzOi8vd3d3Lm50di5jb20udHIvYW1wL2dhbGVyaS90dXJraXllLzFtaWx5YXItZG9sYXJsaWstdnVyZ3VuZGEteWVuaS1pZGRpYS15YXphci1hc2tpbS1rYXBpc21ha2EteWFwaXlhLWFkYW1rYXphbmRpcm1hLXN1Y2xhbWFzaSxTYVdINlJhTWwweXZuSm1BS3lwY3Jn?hl=tr&gl=TR&ceid=TR%3Atr
3,1 milyar dolarlık vurgun: Aralarında ünlü isimler var... İşte Aşkım Kapışmak'ın rolü...,Hürriyet,Türkiye,2024-05-31T13:34:06Z,news.google.com/articles/CBMifGh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9ndW5kZW0vMS1taWx5YXItZG9sYXJsaWstdnVyZ3VuLWFza2ltLWthcGlzbWFrLWhha2tpbmRhLXlhcGl5YS1pbnNhbi1rYXphbmRpcm1hLWlkZGlhc2ktNDI0NzA3MjTSAQA?hl=tr&gl=TR&ceid=TR%3Atr
4,1 milyar dolarlık vurgunda gözaltına alınan Aşkım Kapışmak'ın rolü ne? İşte detaylar...,Milliyet,Türkiye,2024-05-31T12:35:00Z,news.google.com/articles/CBMifWh0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vMS1taWx5YXItZG9sYXJsaWstdnVyZ3VuZGEtZ296YWx0aW5hLWFsaW5hbi1hc2tpbS1rYXBpc21ha2luLXJvbHUtbmUtaXN0ZS1kZXRheWxhci03MTM1Mzky0gEA?hl=tr&gl=TR&ceid=TR%3Atr
5,AKP'den sokak köpeklerine ilişkin açıklama,Sözcü,Türkiye,2024-05-31T16:22:04Z,news.google.com/articles/CBMiSmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9ha3AtZGVuLXNva2FrLWtvcGVrbGVyaW5lLWlsaXNraW4tYWNpa2xhbWEtcDUzMzk00gFOaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9ha3AtZGVuLXNva2FrLWtvcGVrbGVyaW5lLWlsaXNraW4tYWNpa2xhbWEtcDUzMzk0?hl=tr&gl=TR&ceid=TR%3Atr
6,AK Partili Güler'den sokak köpekleri açıklaması,NTV,Türkiye,2024-05-31T16:26:00Z,news.google.com/articles/CBMiZGh0dHBzOi8vd3d3Lm50di5jb20udHIvdHVya2l5ZS9hay1wYXJ0aWxpLWd1bGVyZGVuLXNva2FrLWtvcGVrbGVyaS1hY2lrbGFtYXNpLGYwY0xpQWVHcGsyLTNYREQxNURkVkHSAWhodHRwczovL3d3dy5udHYuY29tLnRyL2FtcC90dXJraXllL2FrLXBhcnRpbGktZ3VsZXJkZW4tc29rYWsta29wZWtsZXJpLWFjaWtsYW1hc2ksZjBjTGlBZUdwazItM1hERDE1RGRWQQ?hl=tr&gl=TR&ceid=TR%3Atr
7,Sokak köpekleri düzenlemesi tartışma yaratmıştı... Abdullar Güler: 'Saldırganları uyutmayı normalleştirmemiz gerek',Odatv,Türkiye,2024-05-31T14:18:06Z,news.google.com/articles/CBMiamh0dHBzOi8vd3d3Lm9kYXR2LmNvbS9ndW5jZWwvYWJkdWxsYXItZ3VsZXItc2FsZGlyZ2FuLWtvcGVrbGVyaS11eXV0bWF5aS1ub3JtYWxsZXN0aXJtZW1pei1nZXJlay0xMjAwNDY1NTPSAW5odHRwczovL3d3dy5vZGF0di5jb20vYW1wL2d1bmNlbC9hYmR1bGxhci1ndWxlci1zYWxkaXJnYW4ta29wZWtsZXJpLXV5dXRtYXlpLW5vcm1hbGxlc3Rpcm1lbWl6LWdlcmVrLTEyMDA0NjU1Mw?hl=tr&gl=TR&ceid=TR%3Atr
8,"Sokak hayvanlarıyla ilgili hazırlanan yasa taslağının detayları: 1 ay içinde sahiplendirilmeyen köpekler öldürülecek, yük belediyelerde",Medyascope,Türkiye,2024-05-31T08:24:27Z,news.google.com/articles/CBMipwFodHRwczovL21lZHlhc2NvcGUudHYvMjAyNC8wNS8zMS9zb2thay1oYXl2YW5sYXJpeWxhLWlsZ2lsaS1oYXppcmxhbmFuLXlhc2EtdGFzbGFnaW5pbi1kZXRheWxhcmktMS1heS1pY2luZGUtc2FoaXBsZW5kaXJpbG1leWVuLWtvcGVrbGVyLW9sZHVydWxlY2VrLXl1ay1iZWxlZGl5ZWxlcmRlL9IBAA?hl=tr&gl=TR&ceid=TR%3Atr
9,Meteoroloji uyardı: Hava sıcaklıkları mevsim normallerinin üzerine çıkacak,Cumhuriyet,Türkiye,2024-05-31T15:24:23Z,news.google.com/articles/CBMib2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3R1cmtpeWUvbWV0ZW9yb2xvamktdXlhcmRpLWhhdmEtc2ljYWtsaWtsYXJpLW1ldnNpbS1ub3JtYWxsZXJpbmluLXV6ZXJpbmUtMjIxMjczM9IBc2h0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL2FtcC90dXJraXllL21ldGVvcm9sb2ppLXV5YXJkaS1oYXZhLXNpY2FrbGlrbGFyaS1tZXZzaW0tbm9ybWFsbGVyaW5pbi11emVyaW5lLTIyMTI3MzM?hl=tr&gl=TR&ceid=TR%3Atr
10,Meteoroloji'den yeni hava durumu tahmini... Önce yağmur sonra aşırı sıcak! Prof. Dr. Orhan Şen gün gün uyardı,Hürriyet,Türkiye,2024-05-31T07:58:00Z,news.google.com/articles/CBMikgFodHRwczovL3d3dy5odXJyaXlldC5jb20udHIvZ3VuZGVtL21ldGVvcm9sb2ppZGVuLXllbmktaGF2YS1kdXJ1bXUtdGFobWluaS1vbmNlLXlhZ211ci1zb25yYS1hc2lyaS1zaWNhay1wcm9mLWRyLW9yaGFuLXNlbi1ndW4tZ3VuLXV5YXJkaS00MjQ3MDU0OdIBAA?hl=tr&gl=TR&ceid=TR%3Atr
