ID,Headline,Source,Category,Time,URL
1,Covid-19 geri dönüyor! Yeni FLiRT varyantı hızla yayılıyor,NTV,Sağlık,2024-05-31T07:39:00Z,news.google.com/articles/CBMidGh0dHBzOi8vd3d3Lm50di5jb20udHIvZ2FsZXJpL2R1bnlhL2NvdmlkLTE5LWdlcmktZG9udXlvci15ZW5pLWZsaXJ0LXZhcnlhbnRpLWhpemxhLXlheWlsaXlvcixPQVZHVDdiNzEweWpnR2xrRzJJRjNn0gF4aHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvZ2FsZXJpL2R1bnlhL2NvdmlkLTE5LWdlcmktZG9udXlvci15ZW5pLWZsaXJ0LXZhcnlhbnRpLWhpemxhLXlheWlsaXlvcixPQVZHVDdiNzEweWpnR2xrRzJJRjNn?hl=tr&gl=TR&ceid=TR%3Atr
2,Covid-19'un 'Flirt' Varyantı yurt dışında hızla yayılıyor,Bolu Gündem,Sağlık,2024-05-31T15:00:00Z,news.google.com/articles/CBMiYGh0dHBzOi8vd3d3LmJvbHVndW5kZW0uY29tL2hhYmVyLzIwMzQ1NzU2L2NvdmlkLTE5dW4tZmxpcnQtdmFyeWFudGkteXVydC1kaXNpbmRhLWhpemxhLXlheWlsaXlvctIBZGh0dHBzOi8vd3d3LmJvbHVndW5kZW0uY29tL2FtcC9oYWJlci8yMDM0NTc1Ni9jb3ZpZC0xOXVuLWZsaXJ0LXZhcnlhbnRpLXl1cnQtZGlzaW5kYS1oaXpsYS15YXlpbGl5b3I?hl=tr&gl=TR&ceid=TR%3Atr
3,Covid-19 ‘flirt’ varyantı yurtdışında yayılmaya başladı: 'Bu yaza damgasını vuracağını düşünüyoruz',Cumhuriyet,Sağlık,2024-05-30T12:12:11Z,news.google.com/articles/CBMiamh0dHBzOi8vd3d3LmN1bWh1cml5ZXQuY29tLnRyL3NhZ2xpay9jb3ZpZC0xOS1mbGlydC12YXJ5YW50aS15dXJ0ZGlzaW5kYS15YXlpbG1heWEtYmFzbGFkaS1idS15YXphLTIyMTIyMzHSAW5odHRwczovL3d3dy5jdW1odXJpeWV0LmNvbS50ci9hbXAvc2FnbGlrL2NvdmlkLTE5LWZsaXJ0LXZhcnlhbnRpLXl1cnRkaXNpbmRhLXlheWlsbWF5YS1iYXNsYWRpLWJ1LXlhemEtMjIxMjIzMQ?hl=tr&gl=TR&ceid=TR%3Atr
4,COVID-19'un yeni tehditi: Flört varyantı,Aydın Denge Gazetesi,Sağlık,2024-05-31T08:42:00Z,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3LmF5ZGluZGVuZ2UuY29tLnRyL3NhZ2xpay8zMS8wNS8yMDI0L2NvdmlkMTl1bi15ZW5pLXRlaGRpdGktZmxvcnQtdmFyeWFudGnSAQA?hl=tr&gl=TR&ceid=TR%3Atr
5,Araştırma: Yer fıstığı alerjisine karşı bunu yapın,Sözcü,Sağlık,2024-05-31T06:34:00Z,news.google.com/articles/CBMiZmh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hcmFzdGlybWEtY29jdWtsYXJkYS15ZXItZmlzdGlnaS1hbGVyamlzaW5lLWthcnNpLWVya2VuLXRhbmlzbWEtb25lbWxpLXA1MzE5N9IBamh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9hbXAvYXJhc3Rpcm1hLWNvY3VrbGFyZGEteWVyLWZpc3RpZ2ktYWxlcmppc2luZS1rYXJzaS1lcmtlbi10YW5pc21hLW9uZW1saS1wNTMxOTc?hl=tr&gl=TR&ceid=TR%3Atr
6,Çocuklukta yer fıstığı tüketmenin alerji riskini düşürdüğü belirlendi,Medimagazin,Sağlık,2024-05-30T07:13:44Z,news.google.com/articles/CBMibmh0dHBzOi8vbWVkaW1hZ2F6aW4uY29tLnRyL2d1bmNlbC9jb2N1a2x1a3RhLXllci1maXN0aWdpLXR1a2V0bWVuaW4tYWxlcmppLXJpc2tpbmktZHVzdXJkdWd1LWJlbGlybGVuZGktMTExNjk50gEA?hl=tr&gl=TR&ceid=TR%3Atr
7,Fıstık alerjisi riski böyle düşüyormuş!,Yeni Akit,Sağlık,2024-05-30T05:38:33Z,news.google.com/articles/CBMiVWh0dHBzOi8vd3d3Lnllbmlha2l0LmNvbS50ci9oYWJlci9maXN0aWstYWxlcmppc2ktcmlza2ktYm95bGUtZHVzdXlvcm11cy0xODU3MjkzLmh0bWzSAVJodHRwczovL20ueWVuaWFraXQuY29tLnRyL2FtcC9oYWJlci8xODU3MjkzL2Zpc3Rpay1hbGVyamlzaS1yaXNraS1ib3lsZS1kdXN1eW9ybXVz?hl=tr&gl=TR&ceid=TR%3Atr
8,Araştırma: Kalp hastalığı riskini azaltan sekiz faktör,Gazete Duvar,Sağlık,2024-05-31T12:56:29Z,news.google.com/articles/CBMiY2h0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hcmFzdGlybWEta2FscC1oYXN0YWxpZ2ktcmlza2luaS1hemFsdGFuLXNla2l6LWZha3Rvci1nYWxlcmktMTY5NTQwM9IBZ2h0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hbXAvYXJhc3Rpcm1hLWthbHAtaGFzdGFsaWdpLXJpc2tpbmktYXphbHRhbi1zZWtpei1mYWt0b3ItZ2FsZXJpLTE2OTU0MDM?hl=tr&gl=TR&ceid=TR%3Atr
9,Bu sekiz tavsiyeye uymak kalp hastalığı riskini azaltıyor,Sözcü,Sağlık,2024-05-31T12:31:00Z,news.google.com/articles/CBMiWWh0dHBzOi8vd3d3LnNvemN1LmNvbS50ci9idS1zZWtpei10YXZzaXlleWUtdXltYWsta2FscC1oYXN0YWxpZ2ktcmlza2luaS1hemFsdGl5b3ItcDUzMzE50gFdaHR0cHM6Ly93d3cuc296Y3UuY29tLnRyL2FtcC9idS1zZWtpei10YXZzaXlleWUtdXltYWsta2FscC1oYXN0YWxpZ2ktcmlza2luaS1hemFsdGl5b3ItcDUzMzE5?hl=tr&gl=TR&ceid=TR%3Atr
10,"Araştırmalar, Yaşlanmayı Geciktirmek ve Ölüm Riskini Azaltmak İçin Edinilmesi Gereken Alışkanlıkları Söyledi",Onedio,Sağlık,2024-05-31T16:24:00Z,news.google.com/articles/CBMijAFodHRwczovL29uZWRpby5jb20vaGFiZXIvYXJhc3Rpcm1hbGFyLXlhc2xhbm1heWktZ2VjaWt0aXJtZWstdmUtb2x1bS1yaXNraW5pLWF6YWx0bWFrLWljaW4tZWRpbmlsbWVzaS1nZXJla2VuLWFsaXNrYW5saWtsYXJpLXNveWxlZGktMTIyNjE0ONIBkAFodHRwczovL2FtcC5vbmVkaW8uY29tL2hhYmVyL2FyYXN0aXJtYWxhci15YXNsYW5tYXlpLWdlY2lrdGlybWVrLXZlLW9sdW0tcmlza2luaS1hemFsdG1hay1pY2luLWVkaW5pbG1lc2ktZ2VyZWtlbi1hbGlza2FubGlrbGFyaS1zb3lsZWRpLTEyMjYxNDg?hl=tr&gl=TR&ceid=TR%3Atr
11,"İşte yaşlanmayı yavaşlatan, ölüm riskini azaltan alışkanlıklar - Fotoğraf Galerisi",T24,Sağlık,2024-05-31T06:45:00Z,news.google.com/articles/CBMiYWh0dHBzOi8vdDI0LmNvbS50ci9mb3RvLWhhYmVyL2lzdGUteWFzbGFubWF5aS15YXZhc2xhdGFuLW9sdW0tcmlza2luaS1hemFsdGFuLWFsaXNrYW5saWtsYXIsMzI1ODfSAQA?hl=tr&gl=TR&ceid=TR%3Atr
