0,Meteoroloji'den 19 il için sarı kodlu uyarı: Sıcaklık azalıyor, kuvvetli yağış geliyor! (Yeni haftada hava nasıl olacak?),NTV,2024-05-28T06:09:00Z,news.google.com/articles/CBMirwFodHRwczovL3d3dy5udHYuY29tLnRyL2dhbGVyaS90dXJraXllL21ldGVvcm9sb2ppZGVuLTE5LWlsLWljaW4tc2FyaS1rb2RsdS11eWFyaS1zaWNha2xpay1hemFsaXlvci1rdXZ2ZXRsaS15YWdpcy1nZWxpeW9yLXllbmktaGFmdGFkYS1oYXZhLW5hc2lsLW9sYWNhayxrMEJsUmNlWUxrZVpwWWJrejVzclhn0gGzAWh0dHBzOi8vd3d3Lm50di5jb20udHIvYW1wL2dhbGVyaS90dXJraXllL21ldGVvcm9sb2ppZGVuLTE5LWlsLWljaW4tc2FyaS1rb2RsdS11eWFyaS1zaWNha2xpay1hemFsaXlvci1rdXZ2ZXRsaS15YWdpcy1nZWxpeW9yLXllbmktaGFmdGFkYS1oYXZhLW5hc2lsLW9sYWNhayxrMEJsUmNlWUxrZVpwWWJrejVzclhn?hl=tr&gl=TR&ceid=TR%3Atr
1,Meteoroloji yeni hava durumu raporu yayımladı! Dikkat: Sıcaklıklar artıyor,Milliyet,2024-05-28T16:44:16Z,news.google.com/articles/CBMic2h0dHBzOi8vd3d3Lm1pbGxpeWV0LmNvbS50ci9ndW5kZW0vbWV0ZW9yb2xvamkteWVuaS1oYXZhLWR1cnVtdS1yYXBvcnUteWF5aW1sYWRpLWRpa2thdC1zaWNha2xpa2xhci1hcnRpeW9yLTcxMzM3NDfSAQA?hl=tr&gl=TR&ceid=TR%3Atr
2,Başkentte sağanak etkili oldu,TRT Haber,2024-05-28T11:00:00Z,news.google.com/articles/CBMiTWh0dHBzOi8vd3d3LnRydGhhYmVyLmNvbS9mb3RvLWdhbGVyaS9iYXNrZW50dGUtc2FnYW5hay1ldGtpbGktb2xkdS82NTE1NS5odG1s0gEA?hl=tr&gl=TR&ceid=TR%3Atr
3,Son dakika haberi: Meteoroloji'den kuvvetli sağanak ve fırtına uyarısı - 28 Mayıs Hava Durumu,Habertürk,2024-05-28T04:30:04Z,news.google.com/articles/CBMifGh0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vc29uLWRha2lrYS1oYWJlcmktbWV0ZW9yb2xvamktZGVuLWt1dnZldGxpLXNhZ2FuYWstdmUtZmlydGluYS11eWFyaXNpLTI4LW1heWlzLWhhdmEtZHVydW11LTM2OTAxODHSAX5odHRwczovL20uaGFiZXJ0dXJrLmNvbS9zb24tZGFraWthLWhhYmVyaS1tZXRlb3JvbG9qaS1kZW4ta3V2dmV0bGktc2FnYW5hay12ZS1maXJ0aW5hLXV5YXJpc2ktMjgtbWF5aXMtaGF2YS1kdXJ1bXUtMzY5MDE4MS1hbXA?hl=tr&gl=TR&ceid=TR%3Atr
4,CHP'den sokak hayvanları düzenlenmesine şartlı destek,Habertürk,2024-05-28T06:50:10Z,news.google.com/articles/CBMiV2h0dHBzOi8vd3d3LmhhYmVydHVyay5jb20vY2hwLWRlbi1zb2thay1oYXl2YW5sYXJpLWR1emVubGVubWVzaW5lLXNhcnRsaS1kZXN0ZWstMzY5MDIxONIBWWh0dHBzOi8vbS5oYWJlcnR1cmsuY29tL2NocC1kZW4tc29rYWstaGF5dmFubGFyaS1kdXplbmxlbm1lc2luZS1zYXJ0bGktZGVzdGVrLTM2OTAyMTgtYW1w?hl=tr&gl=TR&ceid=TR%3Atr
5,Özgür Özel'den sahipsiz sokak hayvanları düzenlemesine tepki: Öldürmek çözüm değil, kısırlaştırma kampanyası başlatılmalı,NTV,2024-05-28T12:36:00Z,news.google.com/articles/CBMiqwFodHRwczovL3d3dy5udHYuY29tLnRyL3R1cmtpeWUvb3pndXItb3plbGRlbi1zYWhpcHNpei1zb2thay1oYXl2YW5sYXJpZHV6ZW5sZW1lc2luZS10ZXBraS1vbGR1cm1lay1jb3p1bS1kZWdpbC1raXNpcmxhc3Rpcm1hLWthbXBhbnlhc2ktYmFzbGF0aWxtYWxpLDd2eFNSU0picEVXa1E4R0xkempraUHSAa8BaHR0cHM6Ly93d3cubnR2LmNvbS50ci9hbXAvdHVya2l5ZS9vemd1ci1vemVsZGVuLXNhaGlwc2l6LXNva2FrLWhheXZhbmxhcmlkdXplbmxlbWVzaW5lLXRlcGtpLW9sZHVybWVrLWNvenVtLWRlZ2lsLWtpc2lybGFzdGlybWEta2FtcGFueWFzaS1iYXNsYXRpbG1hbGksN3Z4U1JTSmJwRVdrUThHTGR6amtpQQ?hl=tr&gl=TR&ceid=TR%3Atr
6,AKP'nin sokak hayvanları düzenlemesi sahipsiz kaldı: Geri adım atılacak mı?,soL Haber Portalı,2024-05-28T15:45:00Z,news.google.com/articles/CBMibmh0dHBzOi8vaGFiZXIuc29sLm9yZy50ci9oYWJlci9ha3BuaW4tc29rYWstaGF5dmFubGFyaS1kdXplbmxlbWVzaS1zYWhpcHNpei1rYWxkaS1nZXJpLWFkaW0tYXRpbGFjYWstbWktMzkzNTQz0gEA?hl=tr&gl=TR&ceid=TR%3Atr
7,Avrupa'da sıkı düzenlemelerle yerleşim yerlerinde sahipsiz hayvanlara rastlanmıyor,TRT Haber,2024-05-28T08:34:00Z,news.google.com/articles/CBMiggFodHRwczovL3d3dy50cnRoYWJlci5jb20vaGFiZXIvZHVueWEvYXZydXBhZGEtc2lraS1kdXplbmxlbWVsZXJsZS15ZXJsZXNpbS15ZXJsZXJpbmRlLXNhaGlwc2l6LWhheXZhbmxhcmEtcmFzdGxhbm1peW9yLTg2MDMyMi5odG1s0gEA?hl=tr&gl=TR&ceid=TR%3Atr
8,Erzincan'da İliç soruşturmasında şirketin yatırım projeleri müdürü tutuklandı,Hürriyet,2024-05-28T09:40:00Z,news.google.com/articles/CBMiYmh0dHBzOi8vd3d3Lmh1cnJpeWV0LmNvbS50ci9ndW5kZW0vZXJ6aW5jYW5kYS1pbGljLXNvcnVzdHVybWFzaW5kYS0xLWtpc2ktZGFoYS10dXR1a2xhbmRpLTQyNDY4ODEy0gEA?hl=tr&gl=TR&ceid=TR%3Atr
9,İliç'teki madende bir toprak kayması daha: Şirket doğruladı, vali 'kontrollü' dedi,soL Haber Portalı,2024-05-27T16:56:00Z,news.google.com/articles/CBMic2h0dHBzOi8vaGFiZXIuc29sLm9yZy50ci9oYWJlci9pbGljdGVraS1tYWRlbmRlLWJpci10b3ByYWsta2F5bWFzaS1kYWhhLXNpcmtldC1kb2dydWxhZGktdmFsaS1rb250cm9sbHUtZGVkaS0zOTM1MjXSAQA?hl=tr&gl=TR&ceid=TR%3Atr
10,Gökçeoğlu, İliç komisyonunda konuştu: Maden sahası boşaltılmalıydı,Gazete Duvar,2024-05-28T15:15:00Z,news.google.com/articles/CBMilwFodHRwczovL3d3dy5nYXpldGVkdXZhci5jb20udHIvcHJvZi1kci1jYW5kYW4tZ29rY2VvZ2x1LWlsaWMta29taXN5b251bmRhLWtvbnVzdHUtY2FuLWtheWlwbGFyaW5pLWVuZ2VsbGVtZWstbWFkZW4tc2FoYXNpLWJvc2FsdGlsbWFsaXlkaS1oYWJlci0xNjk0Njgx0gGbAWh0dHBzOi8vd3d3LmdhemV0ZWR1dmFyLmNvbS50ci9hbXAvcHJvZi1kci1jYW5kYW4tZ29rY2VvZ2x1LWlsaWMta29taXN5b251bmRhLWtvbnVzdHUtY2FuLWtheWlwbGFyaW5pLWVuZ2VsbGVtZWstbWFkZW4tc2FoYXNpLWJvc2FsdGlsbWFsaXlkaS1oYWJlci0xNjk0Njgx?hl=tr&gl=TR&ceid=TR%3Atr
